traversal,profile,method,n_runs,ape_raw_rmse_mean,ape_raw_rmse_std,ape_align_rmse_mean,ape_align_rmse_std,row_correct_fraction_mean,row_correct_fraction_std,failure_rate_mean,failure_rate_std,wrong_row_duration_sec_mean,wrong_row_duration_sec_std,cross_track_mean_mean,cross_track_mean_std,speed_mean_mean,speed_mean_std,accel_rms_mean,accel_rms_std
rh1,drift_bias,AMCL+NoisyGNSS,3,2.0754829949056104,0.12104545731837257,1.6050002495853726,6.024758078547475e-05,0.6159600997506235,0.0,0.38403990024937656,0.0,165.0721755027771,0.0,1.3542836022916347,1.2386987789847798e-05,0.6395196671129718,9.102243978396069e-07,0.37375363897610187,8.395358957553846e-09
rh1,drift_bias,NoisyGNSS,3,4.47141434281358,0.5378470966964758,4.098063210812916,0.4871356352250255,0.44277360066833754,0.0733365291473843,0.5572263993316625,0.0733365291473843,888.0,115.56239296010907,2.979961773713171,0.16106446302307806,0.3668127700416947,0.009868863450717193,0.06898802237996181,0.0014892108983946004
rh1,drift_bias,RTAB RGB+NoisyGNSS,3,39.51165070109436,0.19494765635209169,6.412032572158755,7.209529990251017e-05,0.376657824933687,0.0,0.623342175066313,0.0,259.529723405838,0.0,5.350238186576867,5.879224747849872e-05,0.6068432884672897,1.2789194062075214e-05,0.03543544498768741,5.801740780021772e-06
rh1,drift_bias,RTAB RGBD+NoisyGNSS,3,39.47695339150105,0.19487455001047332,6.454468586954596,6.852848616050228e-05,0.3763157894736842,0.0,0.6236842105263158,0.0,259.9646246433258,0.0,5.37427518528792,5.680094950541622e-05,0.6049457101489345,1.4073517449299472e-05,0.036086708791405575,2.460939914166343e-05
rh1,drift_bias,SLPF,3,3.549828387058234,0.589936535705322,3.26399034995776,0.5926522678076218,0.41938178780284047,0.08721260349778039,0.5806182121971596,0.08721260349778037,925.3333333333334,139.34449716041493,2.5025960877901396,0.2866196506515517,0.17946594383729475,0.0035665270284287566,0.03197391798549581,9.74984653264794e-05
rh1,gaussian_high,AMCL+NoisyGNSS,3,2.0171346854587937,0.056400065509735454,1.6049748967575956,3.015974737524505e-05,0.6159600997506235,0.0,0.38403990024937656,0.0,165.0721755027771,0.0,1.354280282679122,1.6477977117510928e-05,0.6395198000525134,9.109794234870872e-07,0.37375363646773035,5.699085781930863e-09
rh1,gaussian_high,NoisyGNSS,3,3.1986385045610604,0.0500487714391775,3.149931937073127,0.04776679185940641,0.5112781954887219,0.03994330188097553,0.48872180451127817,0.03994330188097552,780.0,63.74950980203691,2.361682555260702,0.0630881623422932,0.9079181853766318,0.01408323599111053,0.15598238878520868,0.005071872967836368
rh1,gaussian_high,RTAB RGB+NoisyGNSS,3,39.43201352067803,0.1004744601062327,6.412002095704047,3.5841021050482664e-05,0.376657824933687,0.0,0.623342175066313,0.0,259.529723405838,0.0,5.350213670876234,2.9587665287318647e-05,0.6068399566807465,1.7726197181397637e-05,0.03543512742479235,7.931997310401894e-06
rh1,gaussian_high,RTAB RGBD+NoisyGNSS,3,39.39717611890068,0.10017848615779565,6.4544394395975,3.389039422385238e-05,0.3763157894736842,0.0,0.6236842105263158,0.0,259.9646246433258,0.0,5.374251108539103,2.8151186553978278e-05,0.6049446607272507,1.823433745752185e-05,0.03608662205944477,3.124202222654143e-05
rh1,gaussian_high,SLPF,3,1.5634724812007903,0.13612383112771292,1.4197595363887083,0.16365251301175937,0.6833751044277361,0.04667908118529323,0.316624895572264,0.0466790811852932,505.3333333333333,74.49981357172796,1.470400947293264,0.11234430154199102,0.1754109191227231,0.0016481181525373775,0.03168557774648659,0.0003349107683299731
rh1,headland_only_degradation,AMCL+NoisyGNSS,3,2.036718762240479,0.09716372523885446,1.6049798381655263,5.081343108345581e-05,0.6159600997506235,0.0,0.38403990024937656,0.0,165.0721755027771,0.0,1.354285103289963,2.0745684099132047e-05,0.6395199765742463,1.2045375691399782e-06,0.373753636052575,8.454133722549632e-09
rh1,headland_only_degradation,NoisyGNSS,3,2.5683332961352847,0.1870872109433081,2.4984160773438147,0.2248390780890877,0.70843776106934,0.0761380610864792,0.29156223893065997,0.07613806108647918,464.0,119.73303637676612,1.8585205500428448,0.1442335647538841,0.43185418081632626,0.033387767988023266,0.11762140859764798,0.037082318783255054
rh1,headland_only_degradation,RTAB RGB+NoisyGNSS,3,39.444881593668846,0.16702428303618824,6.412008343831985,6.064912570919812e-05,0.376657824933687,0.0,0.623342175066313,0.0,259.529723405838,0.0,5.3502182946878944,4.977552053067106e-05,0.6068452606838933,2.209311170900244e-05,0.03543789060493397,1.089315787640624e-05
rh1,headland_only_degradation,RTAB RGBD+NoisyGNSS,3,39.41028345921188,0.16674228604938604,6.454445654715624,5.749772179652777e-05,0.3763157894736842,0.0,0.6236842105263158,0.0,259.9646246433258,0.0,5.374256175814765,4.772287210716494e-05,0.6049494211288623,2.2986167695946813e-05,0.03609506144031532,4.029383404548009e-05
rh1,headland_only_degradation,SLPF,3,1.1698522306325636,0.3234063939001321,1.1116090393910742,0.3000997656963517,0.747702589807853,0.08199060415295102,0.252297410192147,0.08199060415295102,401.3333333333333,129.00990487383345,1.3972422708876966,0.05191311455837752,0.16875137521102715,0.0029533247270161086,0.032466645776719226,0.00040666552172776734
rh1,multipath_bursts,AMCL+NoisyGNSS,3,2.0278239124154527,0.04198616545937107,1.6049856392758806,2.1322820425103413e-05,0.6159600997506235,0.0,0.38403990024937656,0.0,165.0721755027771,0.0,1.3542733388820591,9.665298126295365e-06,0.6395193427629655,5.3158055227417e-07,0.3737536392947594,3.5857544004219677e-09
rh1,multipath_bursts,NoisyGNSS,3,3.466369915592862,0.30087987320323467,3.441533229118635,0.31377298147947363,0.6390977443609022,0.03550297303404477,0.3609022556390977,0.03550297303404474,576.0,56.66274496233541,1.957730808873385,0.19723067985663922,0.6060426250311458,0.060748996143769794,0.2481688467975612,0.02964459455983836
rh1,multipath_bursts,RTAB RGB+NoisyGNSS,3,39.47087753867836,0.06982617233607932,6.412014303022896,2.551538713977392e-05,0.376657824933687,0.0,0.623342175066313,0.0,259.529723405838,0.0,5.350224287545231,2.088668313914548e-05,0.6068321293512645,1.0313058267149534e-05,0.035431262342192536,3.7664156971531996e-06
rh1,multipath_bursts,RTAB RGBD+NoisyGNSS,3,39.43567403793966,0.06972960058236818,6.454450633910947,2.4228489227753726e-05,0.3763157894736842,0.0,0.6236842105263158,0.0,259.9646246433258,0.0,5.374260478501249,2.010411427564771e-05,0.6049360627107893,1.0512138164130434e-05,0.036071358771013216,1.7121703224684306e-05
rh1,multipath_bursts,SLPF,3,1.319639793487952,0.06484413008045997,1.2409293570582078,0.07114045511711102,0.720969089390142,0.02441376640969501,0.27903091060985796,0.024413766409695,445.3333333333333,38.96437118987322,1.3801447626441075,0.09228593093090914,0.1713881064186981,0.00249715245551793,0.031839001082146434,0.0005391446189046703
