experiment,method,ape_raw_rmse_mean_m,ape_raw_rmse_std_m,ape_align_rmse_mean_m,ape_align_rmse_std_m,rpe_2m_rmse_mean_m,rpe_2m_rmse_std_m,rpe_5m_rmse_mean_m,rpe_5m_rmse_std_m,cross_track_mean_m,cross_track_std_m,cross_track_median_m,cross_track_max_m,row_correct_fraction_mean,row_correct_fraction_std,row_mislocalisation_events_mean,row_mislocalisation_events_std,sources
Experiment 1,Noisy GNSS,3.035507038885297,0.12945272123860482,2.9781029363430656,0.12714581589738777,3.56333387458538,0.29227592520659185,3.9882376186377257,0.4345115719245598,1.7206391994445809,0.1473134133861879,1.5189665586703527,44.51815679594454,0.6816103718867281,0.027239966114171215,726.0,54.57105459856901,APE/RPE:/home/pulver/projects/Outdoor_SLPF/results/iros_rh1/final_20260217/trajectory_metrics_multiseed_aggregate.csv; row/cross:/home/pulver/projects/Outdoor_SLPF/results/noisy_gps/run1_recomputed/noisy_gps_run1_row_metrics_aggregate.csv
Experiment 1,AMCL,1.3656649833093362,0.4652234420685256,1.0160544352831884,0.2975417621747963,4.692829742026574,0.04697702593855709,5.387272141187697,0.10788387911207403,1.404372088808163,0.09828817130048682,NaN,NaN,0.6674958540630183,0.1349156948576225,27.333333333333332,3.0912061651652345,/home/pulver/projects/Outdoor_SLPF/data/2025/amcl/amcl_3runs_metrics/amcl_metrics_3runs_aggregate.csv
Experiment 1,AMCL+NGNSS,1.329009379535785,0.46060906938172325,0.9896894884538995,0.30053696045913375,4.660094515360576,0.03888465514391133,5.3515978274136105,0.09518154232055928,1.3891397149581215,0.09023175164326998,NaN,NaN,0.6708126036484247,0.13157194862933122,27.333333333333332,3.0912061651652345,/home/pulver/projects/Outdoor_SLPF/data/2025/amcl/amcl_3runs_metrics/amcl_metrics_3runs_aggregate.csv
Experiment 1,RGB RTAB-Map,59.616177092593,0.484696710999,59.616177092593,0.484696710999,1.191573206334,0.006899868870,2.211982273416,0.007140231022,6.206823707686,0.025103547990,6.145945817264,19.491547582146,0.447298806019,0.004463436529,14.000000000000,0.000000000000,/home/pulver/projects/Outdoor_SLPF/results/rtabmap/rgb_jonathan_run1_3runs/rtab_rgb_run1_part1_3runs_summary.csv
Experiment 1,RGBD RTAB-Map,61.333285084359,0.279448742097,61.333285084359,0.279448742097,8.252112292713,0.083857052580,10.786704031995,0.108460933149,6.779891903128,0.012040995119,6.129764012068,46.099050753182,0.476342531904,0.002537987448,13.333333333333,0.471404520791,/home/pulver/projects/Outdoor_SLPF/results/rtabmap/rgbd_jonathan_run1_3runs/rtab_rgbd_run1_part1_3runs_summary.csv
Experiment 1,SLPF (ours),1.1383675375824212,0.06976093931855615,1.0404165957162685,0.09818705911792151,3.3338159813994497,0.06944973183263,6.917368602812928,0.09088571520704433,1.2629288147797044,0.05552013612121821,1.251864823019632,NaN,0.7318295739348372,0.01023178672841762,34.666666666666664,1.699673171197595,APE raw:/home/pulver/projects/Outdoor_SLPF/results/iros_rh1/final_20260217/trajectory_metrics_multiseed_aggregate.csv; others:/home/pulver/projects/Outdoor_SLPF/results/iros_ablation/20260217_085404_ablation/ablation_metrics_aggregate.csv
