# angle_min_rad,0.001592549
# angle_max_rad,6.281592758
# angle_increment_rad,0.005800000
# time_increment_s,0.000000000
# scan_time_s,0.033333302
# range_min_m,0.300000012
# range_max_m,50.000000000
beam_index,angle_rad,range_m,intensity
0,0.001592549,9.027148247,
1,0.007392549,9.035736084,
2,0.013192549,51.000000000,
3,0.018992548,9.846371651,
4,0.024792548,9.809947968,
5,0.030592548,9.740539551,
6,0.036392548,9.792971611,
7,0.042192548,9.730514526,
8,0.047992548,9.920741081,
9,0.053792548,9.933149338,
10,0.059592548,9.912572861,
11,0.065392548,9.938275337,
12,0.071192548,9.877684593,
13,0.076992548,9.892976761,
14,0.082792548,9.872293472,
15,0.088592548,9.852586746,
16,0.094392548,9.975671768,
17,0.100192547,10.011847496,
18,0.105992547,51.000000000,
19,0.111792547,10.130067825,
20,0.117592547,9.915516853,
21,0.123392547,10.017511368,
22,0.129192547,9.908782005,
23,0.134992547,9.869934082,
24,0.140792547,9.894970894,
25,0.146592547,9.874088287,
26,0.152392547,9.895067215,
27,0.158192547,9.890065193,
28,0.163992547,9.856089592,
29,0.169792547,9.824090958,
30,0.175592546,9.875935555,
31,0.181392546,9.808955193,
32,0.187192546,9.756933212,
33,0.192992546,9.785752296,
34,0.198792546,9.716722488,
35,0.204592546,9.699584007,
36,0.210392546,9.708376884,
37,0.216192546,9.803992271,
38,0.221992546,9.731643677,
39,0.227792546,9.723388672,
40,0.233592546,51.000000000,
41,0.239392546,9.898767471,
42,0.245192546,9.973315239,
43,0.250992546,9.980613708,
44,0.256792545,10.033141136,
45,0.262592545,10.084649086,
46,0.268392545,9.924376488,
47,0.274192545,10.051866531,
48,0.279992545,10.089342117,
49,0.285792545,10.071906090,
50,0.291592545,10.078403473,
51,0.297392545,10.026999474,
52,0.303192545,9.997534752,
53,0.308992545,10.021942139,
54,0.314792545,9.974479675,
55,0.320592545,10.008827209,
56,0.326392545,10.060120583,
57,0.332192544,9.996640205,
58,0.337992544,9.949110985,
59,0.343792544,9.919857025,
60,0.349592544,9.771513939,
61,0.355392544,9.793761253,
62,0.361192544,9.890814781,
63,0.366992544,14.880671501,
64,0.372792544,10.125537872,
65,0.378592544,10.252494812,
66,0.384392544,10.302604675,
67,0.390192544,10.330745697,
68,0.395992544,10.326940536,
69,0.401792544,10.346068382,
70,0.407592544,10.413069725,
71,0.413392543,10.406219482,
72,0.419192543,10.432279587,
73,0.424992543,10.426479340,
74,0.430792543,10.396617889,
75,0.436592543,10.436579704,
76,0.442392543,10.472533226,
77,0.448192543,10.517449379,
78,0.453992543,10.490517616,
79,0.459792543,10.148343086,
80,0.465592543,10.194208145,
81,0.471392543,10.166242599,
82,0.477192543,10.418559074,
83,0.482992543,3.492917299,
84,0.488792542,3.479098797,
85,0.494592542,3.101111650,
86,0.500392542,3.095402956,
87,0.506192542,3.126979113,
88,0.511992542,3.112478495,
89,0.517792542,10.822770119,
90,0.523592542,10.906394958,
91,0.529392542,10.860311508,
92,0.535192542,10.949892998,
93,0.540992542,10.973616600,
94,0.546792542,11.001316071,
95,0.552592542,10.836464882,
96,0.558392542,3.015800953,
97,0.564192542,2.997098446,
98,0.569992541,2.995713472,
99,0.575792541,2.989505053,
100,0.581592541,2.980903387,
101,0.587392541,11.024247169,
102,0.593192541,11.018919945,
103,0.598992541,11.355765343,
104,0.604792541,11.377346992,
105,0.610592541,51.000000000,
106,0.616392541,11.486715317,
107,0.622192541,11.492310524,
108,0.627992541,11.545781136,
109,0.633792541,11.621192932,
110,0.639592541,11.702580452,
111,0.645392540,2.597078323,
112,0.651192540,12.794059753,
113,0.656992540,11.540122032,
