# angle_min_rad,0.001592549
# angle_max_rad,6.281592758
# angle_increment_rad,0.005800000
# time_increment_s,0.000000000
# scan_time_s,0.033333302
# range_min_m,0.300000012
# range_max_m,50.000000000
beam_index,angle_rad,range_m,intensity
233,1.352992531,9.079799652,
234,1.358792531,9.089105606,
235,1.364592531,51.000000000,
236,1.370392531,8.926701546,
237,1.376192531,8.965177536,
238,1.381992531,51.000000000,
239,1.387792531,51.000000000,
240,1.393592531,3.615262270,
241,1.399392531,3.676323414,
242,1.405192531,3.753710032,
243,1.410992531,6.519006252,
244,1.416792531,51.000000000,
245,1.422592531,51.000000000,
246,1.428392531,51.000000000,
247,1.434192530,51.000000000,
248,1.439992530,51.000000000,
249,1.445792530,8.946829796,
250,1.451592530,51.000000000,
251,1.457392530,3.781379938,
252,1.463192530,3.757542849,
253,1.468992530,51.000000000,
254,1.474792530,51.000000000,
255,1.480592530,3.789431095,
256,1.486392530,3.793858051,
257,1.492192530,51.000000000,
258,1.497992530,6.280745506,
259,1.503792530,6.305964947,
260,1.509592530,6.336136341,
261,1.515392529,51.000000000,
262,1.521192529,8.836374283,
263,1.526992529,51.000000000,
264,1.532792529,51.000000000,
265,1.538592529,51.000000000,
266,1.544392529,51.000000000,
267,1.550192529,51.000000000,
268,1.555992529,51.000000000,
269,1.561792529,51.000000000,
270,1.567592529,51.000000000,
271,1.573392529,51.000000000,
272,1.579192529,51.000000000,
273,1.584992529,51.000000000,
274,1.590792528,51.000000000,
275,1.596592528,51.000000000,
276,1.602392528,51.000000000,
277,1.608192528,51.000000000,
278,1.613992528,51.000000000,
279,1.619792528,51.000000000,
280,1.625592528,51.000000000,
281,1.631392528,51.000000000,
282,1.637192528,51.000000000,
283,1.642992528,51.000000000,
284,1.648792528,51.000000000,
285,1.654592528,51.000000000,
286,1.660392528,51.000000000,
287,1.666192528,51.000000000,
288,1.671992527,51.000000000,
289,1.677792527,51.000000000,
290,1.683592527,51.000000000,
291,1.689392527,51.000000000,
292,1.695192527,8.803320885,
293,1.700992527,51.000000000,
294,1.706792527,51.000000000,
295,1.712592527,51.000000000,
296,1.718392527,3.904999733,
297,1.724192527,3.926408052,
298,1.729992527,51.000000000,
299,1.735792527,3.876214266,
300,1.741592527,3.901448727,
301,1.747392526,6.305103779,
302,1.753192526,51.000000000,
303,1.758992526,51.000000000,
304,1.764792526,51.000000000,
305,1.770592526,51.000000000,
306,1.776392526,51.000000000,
307,1.782192526,51.000000000,
308,1.787992526,11.490547180,
309,1.793792526,51.000000000,
310,1.799592526,51.000000000,
311,1.805392526,51.000000000,
312,1.811192526,51.000000000,
313,1.816992526,51.000000000,
314,1.822792526,51.000000000,
315,1.828592525,51.000000000,
316,1.834392525,51.000000000,
317,1.840192525,51.000000000,
318,1.845992525,3.894809484,
319,1.851792525,3.909062862,
320,1.857592525,3.924724102,
321,1.863392525,3.927112818,
322,1.869192525,3.912733793,
323,1.874992525,51.000000000,
324,1.880792525,51.000000000,
325,1.886592525,51.000000000,
326,1.892392525,51.000000000,
327,1.898192525,51.000000000,
328,1.903992524,51.000000000,
329,1.909792524,51.000000000,
330,1.915592524,9.291001320,
331,1.921392524,51.000000000,
332,1.927192524,14.071766853,
333,1.932992524,51.000000000,
334,1.938792524,51.000000000,
335,1.944592524,51.000000000,
336,1.950392524,51.000000000,
337,1.956192524,6.736190319,
338,1.961992524,6.729239941,
339,1.967792524,51.000000000,
340,1.973592524,51.000000000,
341,1.979392524,9.600172997,
342,1.985192523,13.340708733,
343,1.990992523,13.336613655,
344,1.996792523,13.441414833,
345,2.002592523,51.000000000,
346,2.008392523,51.000000000,
347,2.014192523,51.000000000,
348,2.019992523,13.331797600,
349,2.025792523,13.318576813,
350,2.031592523,13.348303795,
351,2.037392523,6.972441673,
352,2.043192523,6.989098072,
353,2.048992523,51.000000000,
354,2.054792523,51.000000000,
355,2.060592523,51.000000000,
356,2.066392522,51.000000000,
357,2.072192522,51.000000000,
358,2.077992522,51.000000000,
359,2.083792522,51.000000000,
360,2.089592522,51.000000000,
361,2.095392522,51.000000000,
362,2.101192522,51.000000000,
363,2.106992522,51.000000000,
364,2.112792522,51.000000000,
365,2.118592522,51.000000000,
366,2.124392522,51.000000000,
367,2.130192522,51.000000000,
368,2.135992522,51.000000000,
369,2.141792521,51.000000000,
370,2.147592521,51.000000000,
371,2.153392521,51.000000000,
372,2.159192521,51.000000000,
373,2.164992521,11.666112900,
374,2.170792521,11.639306068,
375,2.176592521,11.631464958,
376,2.182392521,11.588618279,
377,2.188192521,11.485859871,
378,2.193992521,11.494910240,
379,2.199792521,11.504937172,
380,2.205592521,11.436980247,
381,2.211392521,11.359003067,
382,2.217192521,11.217033386,
383,2.222992520,51.000000000,
384,2.228792520,51.000000000,
385,2.234592520,51.000000000,
386,2.240392520,51.000000000,
387,2.246192520,1.655156970,
388,2.251992520,1.615718842,
389,2.257792520,1.626802325,
390,2.263592520,4.903171539,
391,2.269392520,4.899909019,
392,2.275192520,4.884654999,
393,2.280992520,4.898304462,
394,2.286792520,1.767423034,
395,2.292592520,9.865801811,
396,2.298392519,1.725814342,
397,2.304192519,1.729565501,
398,2.309992519,1.726293325,
399,2.315792519,1.711446285,
400,2.321592519,1.711532831,
401,2.327392519,1.718786836,
402,2.333192519,1.691292763,
403,2.338992519,1.763177633,
404,2.344792519,1.738367796,
405,2.350592519,1.731963754,
406,2.356392519,1.732686758,
407,2.362192519,1.716501832,
408,2.367992519,51.000000000,
409,2.373792519,51.000000000,
410,2.379592518,5.328936100,
411,2.385392518,5.385262012,
412,2.391192518,5.340461731,
413,2.396992518,5.316615582,
414,2.402792518,10.048089027,
415,2.408592518,9.937186241,
416,2.414392518,9.924237251,
417,2.420192518,10.012245178,
418,2.425992518,10.007244110,
419,2.431792518,9.961224556,
420,2.437592518,9.834191322,
421,2.443392518,9.508162498,
422,2.449192518,9.406071663,
423,2.454992517,9.348944664,
424,2.460792517,9.459770203,
425,2.466592517,9.601569176,
426,2.472392517,9.603358269,
427,2.478192517,9.652860641,
428,2.483992517,9.694573402,
429,2.489792517,9.630267143,
430,2.495592517,9.330956459,
431,2.501392517,9.199603081,
432,2.507192517,9.080223083,
433,2.512992517,51.000000000,
434,2.518792517,6.338085651,
435,2.524592517,6.333619595,
436,2.530392517,8.705427170,
437,2.536192516,8.129938126,
438,2.541992516,8.053393364,
439,2.547792516,8.129815102,
440,2.553592516,8.065592766,
441,2.559392516,8.219938278,
442,2.565192516,8.670251846,
443,2.570992516,8.909548759,
444,2.576792516,8.914826393,
445,2.582592516,8.973075867,
446,2.588392516,9.003301620,
447,2.594192516,9.073501587,
448,2.599992516,8.955677986,
449,2.605792516,8.779827118,
450,2.611592515,8.901047707,
451,2.617392515,9.023119926,
452,2.623192515,9.101166725,
453,2.628992515,7.583188057,
454,2.634792515,7.589183331,
455,2.640592515,9.133153915,
456,2.646392515,8.790098190,
457,2.652192515,8.734017372,
458,2.657992515,2.701754332,
459,2.663792515,2.710613489,
460,2.669592515,51.000000000,
461,2.675392515,2.840053082,
462,2.681192515,2.865824938,
463,2.686992515,2.856320143,
464,2.692792514,51.000000000,
465,2.698592514,51.000000000,
466,2.704392514,51.000000000,
467,2.710192514,8.748440742,
468,2.715992514,8.807051659,
469,2.721792514,8.854635239,
470,2.727592514,8.980727196,
471,2.733392514,8.945239067,
472,2.739192514,8.915725708,
473,2.744992514,8.968179703,
474,2.750792514,3.347074270,
475,2.756592514,3.392439127,
476,2.762392514,3.404807091,
477,2.768192514,3.367200375,
478,2.773992513,3.379841805,
479,2.779792513,51.000000000,
480,2.785592513,51.000000000,
481,2.791392513,51.000000000,
482,2.797192513,51.000000000,
483,2.802992513,51.000000000,
484,2.808792513,7.889905453,
485,2.814592513,7.985025406,
486,2.820392513,8.088205338,
487,2.826192513,4.038762569,
488,2.831992513,4.047843933,
489,2.837792513,8.075325012,
490,2.843592513,8.032326698,
491,2.849392512,51.000000000,
492,2.855192512,51.000000000,
493,2.860992512,51.000000000,
494,2.866792512,8.465890884,
495,2.872592512,8.510736465,
496,2.878392512,8.580545425,
497,2.884192512,8.620339394,
498,2.889992512,8.536911964,
499,2.895792512,8.584628105,
