# angle_min_rad,0.001592549
# angle_max_rad,6.281592758
# angle_increment_rad,0.005800000
# time_increment_s,0.000000000
# scan_time_s,0.033333302
# range_min_m,0.300000012
# range_max_m,50.000000000
beam_index,angle_rad,range_m,intensity
0,0.001592549,51.000000000,
1,0.007392549,51.000000000,
2,0.013192549,51.000000000,
3,0.018992548,51.000000000,
4,0.024792548,51.000000000,
5,0.030592548,15.938880920,
6,0.036392548,51.000000000,
7,0.042192548,51.000000000,
8,0.047992548,51.000000000,
9,0.053792548,51.000000000,
10,0.059592548,51.000000000,
11,0.065392548,10.563216209,
12,0.071192548,10.291859627,
13,0.076992548,51.000000000,
14,0.082792548,51.000000000,
15,0.088592548,9.401210785,
16,0.094392548,51.000000000,
17,0.100192547,8.176275253,
18,0.105992547,8.198431015,
19,0.111792547,51.000000000,
20,0.117592547,7.581336498,
21,0.123392547,7.575488091,
22,0.129192547,6.849899292,
23,0.134992547,6.851973534,
24,0.140792547,51.000000000,
25,0.146592547,51.000000000,
26,0.152392547,51.000000000,
27,0.158192547,51.000000000,
28,0.163992547,4.325403214,
29,0.169792547,5.558599472,
30,0.175592546,4.013318539,
31,0.181392546,51.000000000,
32,0.187192546,3.825721741,
33,0.192992546,3.849708080,
34,0.198792546,3.926337719,
35,0.204592546,51.000000000,
36,0.210392546,51.000000000,
37,0.216192546,51.000000000,
38,0.221992546,51.000000000,
39,0.227792546,10.688210487,
40,0.233592546,51.000000000,
41,0.239392546,51.000000000,
42,0.245192546,4.070692062,
43,0.250992546,4.083143234,
44,0.256792545,4.085708141,
45,0.262592545,4.099106312,
46,0.268392545,51.000000000,
47,0.274192545,2.970398664,
48,0.279992545,51.000000000,
49,0.285792545,2.940309048,
50,0.291592545,2.953640461,
51,0.297392545,2.988683224,
52,0.303192545,2.979378462,
53,0.308992545,8.991466522,
54,0.314792545,51.000000000,
55,0.320592545,8.605443954,
56,0.326392545,51.000000000,
57,0.332192544,51.000000000,
58,0.337992544,8.508913040,
59,0.343792544,51.000000000,
60,0.349592544,51.000000000,
61,0.355392544,2.887569666,
62,0.361192544,2.806093454,
63,0.366992544,8.738419533,
64,0.372792544,2.828474283,
65,0.378592544,2.831454515,
66,0.384392544,51.000000000,
67,0.390192544,51.000000000,
68,0.395992544,51.000000000,
69,0.401792544,2.503948927,
70,0.407592544,2.499983311,
