# angle_min_rad,0.001592549
# angle_max_rad,6.281592758
# angle_increment_rad,0.005800000
# time_increment_s,0.000000000
# scan_time_s,0.033333302
# range_min_m,0.300000012
# range_max_m,50.000000000
beam_index,angle_rad,range_m,intensity
0,0.001592549,51.000000000,
1,0.007392549,51.000000000,
2,0.013192549,51.000000000,
3,0.018992548,51.000000000,
4,0.024792548,51.000000000,
5,0.030592548,51.000000000,
6,0.036392548,51.000000000,
7,0.042192548,51.000000000,
8,0.047992548,51.000000000,
9,0.053792548,51.000000000,
10,0.059592548,51.000000000,
11,0.065392548,51.000000000,
12,0.071192548,51.000000000,
13,0.076992548,51.000000000,
14,0.082792548,51.000000000,
15,0.088592548,51.000000000,
16,0.094392548,51.000000000,
17,0.100192547,51.000000000,
18,0.105992547,8.835446358,
19,0.111792547,51.000000000,
20,0.117592547,8.248109818,
21,0.123392547,51.000000000,
22,0.129192547,7.835650921,
23,0.134992547,7.718767166,
24,0.140792547,7.563992023,
25,0.146592547,11.856533051,
26,0.152392547,6.888392925,
27,0.158192547,10.700911522,
28,0.163992547,6.583166122,
29,0.169792547,9.166191101,
30,0.175592546,6.356838703,
31,0.181392546,6.111661911,
32,0.187192546,8.830588341,
33,0.192992546,5.880548000,
34,0.198792546,8.007981300,
35,0.204592546,5.585789204,
36,0.210392546,7.533783913,
37,0.216192546,5.212561607,
38,0.221992546,7.343940735,
39,0.227792546,5.017740726,
40,0.233592546,6.403344154,
41,0.239392546,6.487627029,
42,0.245192546,51.000000000,
43,0.250992546,6.119437218,
44,0.256792545,6.164811134,
45,0.262592545,4.304001331,
46,0.268392545,5.170934200,
47,0.274192545,4.176373005,
48,0.279992545,51.000000000,
49,0.285792545,3.993319750,
50,0.291592545,5.258304119,
51,0.297392545,5.209186077,
52,0.303192545,3.648082972,
53,0.308992545,3.802120209,
54,0.314792545,4.634787083,
55,0.320592545,51.000000000,
56,0.326392545,3.674621105,
57,0.332192544,4.382648945,
58,0.337992544,3.485421658,
59,0.343792544,4.270102501,
60,0.349592544,3.462406874,
61,0.355392544,3.507578611,
62,0.361192544,4.103636265,
63,0.366992544,4.062733173,
64,0.372792544,4.057023525,
65,0.378592544,3.308732510,
66,0.384392544,51.000000000,
67,0.390192544,3.256178617,
68,0.395992544,51.000000000,
69,0.401792544,3.206818342,
70,0.407592544,3.203777552,
