# angle_min_rad,0.001592549
# angle_max_rad,6.281592758
# angle_increment_rad,0.005800000
# time_increment_s,0.000000000
# scan_time_s,0.033333302
# range_min_m,0.300000012
# range_max_m,50.000000000
beam_index,angle_rad,range_m,intensity
0,0.001592549,51.000000000,
1,0.007392549,51.000000000,
2,0.013192549,51.000000000,
3,0.018992548,51.000000000,
4,0.024792548,51.000000000,
5,0.030592548,51.000000000,
6,0.036392548,51.000000000,
7,0.042192548,51.000000000,
8,0.047992548,51.000000000,
9,0.053792548,51.000000000,
10,0.059592548,51.000000000,
11,0.065392548,51.000000000,
12,0.071192548,51.000000000,
13,0.076992548,51.000000000,
14,0.082792548,51.000000000,
15,0.088592548,51.000000000,
16,0.094392548,51.000000000,
17,0.100192547,51.000000000,
18,0.105992547,51.000000000,
19,0.111792547,8.253252983,
20,0.117592547,51.000000000,
21,0.123392547,7.887679577,
22,0.129192547,7.908527374,
23,0.134992547,7.603975773,
24,0.140792547,51.000000000,
25,0.146592547,10.780796051,
26,0.152392547,6.711815357,
27,0.158192547,6.645977974,
28,0.163992547,6.405639172,
29,0.169792547,9.098320007,
30,0.175592546,6.165397644,
31,0.181392546,8.816725731,
32,0.187192546,5.883400440,
33,0.192992546,8.230716705,
34,0.198792546,5.383407116,
35,0.204592546,7.391449928,
36,0.210392546,5.134683132,
37,0.216192546,51.000000000,
38,0.221992546,6.639130592,
39,0.227792546,6.499479294,
40,0.233592546,6.588792801,
41,0.239392546,4.619206905,
42,0.245192546,6.217622280,
43,0.250992546,5.410738945,
44,0.256792545,4.244019508,
45,0.262592545,5.232288361,
46,0.268392545,4.097532272,
47,0.274192545,5.468635559,
48,0.279992545,5.309893608,
49,0.285792545,3.801512003,
50,0.291592545,5.336672306,
51,0.297392545,3.740605354,
52,0.303192545,3.841742277,
53,0.308992545,4.771497250,
54,0.314792545,51.000000000,
55,0.320592545,4.492220402,
56,0.326392545,3.546386719,
57,0.332192544,3.552958250,
58,0.337992544,3.579324961,
59,0.343792544,4.177729607,
60,0.349592544,4.188831329,
61,0.355392544,4.177256107,
62,0.361192544,3.381177664,
63,0.366992544,51.000000000,
64,0.372792544,51.000000000,
65,0.378592544,3.305774450,
66,0.384392544,3.295743942,
67,0.390192544,3.272929192,
68,0.395992544,51.000000000,
69,0.401792544,3.204849005,
70,0.407592544,3.221497536,
