# angle_min_rad,0.001592549
# angle_max_rad,6.281592758
# angle_increment_rad,0.005800000
# time_increment_s,0.000000000
# scan_time_s,0.033333302
# range_min_m,0.300000012
# range_max_m,50.000000000
beam_index,angle_rad,range_m,intensity
0,0.001592549,7.447747231,
1,0.007392549,7.467308044,
2,0.013192549,7.447918892,
3,0.018992548,7.464439392,
4,0.024792548,7.451993465,
5,0.030592548,7.432541370,
6,0.036392548,7.463963509,
7,0.042192548,7.439477921,
8,0.047992548,7.432934284,
9,0.053792548,7.428762913,
10,0.059592548,7.346327782,
11,0.065392548,7.438473225,
12,0.071192548,7.468736649,
13,0.076992548,7.483014107,
14,0.082792548,7.494276047,
15,0.088592548,7.461622238,
16,0.094392548,7.493789673,
17,0.100192547,7.472067356,
18,0.105992547,7.508180618,
19,0.111792547,7.483424664,
20,0.117592547,7.457651615,
21,0.123392547,7.490705967,
22,0.129192547,7.487929344,
23,0.134992547,7.492991924,
24,0.140792547,7.475097656,
25,0.146592547,7.480118752,
26,0.152392547,7.510048866,
27,0.158192547,7.536966801,
28,0.163992547,7.520984173,
29,0.169792547,7.551846027,
30,0.175592546,7.582687378,
31,0.181392546,7.592567444,
32,0.187192546,7.614391804,
33,0.192992546,7.593321800,
34,0.198792546,7.438483238,
35,0.204592546,7.379488945,
36,0.210392546,7.366328716,
37,0.216192546,7.451821804,
38,0.221992546,7.527327538,
39,0.227792546,7.596832752,
40,0.233592546,7.682266712,
41,0.239392546,7.710862160,
42,0.245192546,7.759373188,
43,0.250992546,7.765998840,
44,0.256792545,7.806494236,
45,0.262592545,7.758259773,
46,0.268392545,7.783764362,
47,0.274192545,7.763402939,
48,0.279992545,7.774915695,
49,0.285792545,7.742559910,
50,0.291592545,7.782934666,
51,0.297392545,7.719652176,
52,0.303192545,7.696675777,
53,0.308992545,7.608446121,
54,0.314792545,7.698537350,
55,0.320592545,7.733813763,
56,0.326392545,7.609672070,
57,0.332192544,7.667822361,
58,0.337992544,7.774770260,
59,0.343792544,7.739238262,
60,0.349592544,7.749516010,
61,0.355392544,7.902235508,
62,0.361192544,7.941366196,
63,0.366992544,7.903766155,
64,0.372792544,7.899027348,
65,0.378592544,7.900248528,
66,0.384392544,7.938310146,
67,0.390192544,7.939496994,
68,0.395992544,7.996450901,
69,0.401792544,8.060361862,
70,0.407592544,8.163108826,
71,0.413392543,8.139317513,
72,0.419192543,8.135435104,
73,0.424992543,8.051848412,
74,0.430792543,8.085787773,
75,0.436592543,8.173501015,
76,0.442392543,8.251237869,
77,0.448192543,8.265204430,
78,0.453992543,8.291109085,
79,0.459792543,8.284125328,
80,0.465592543,8.332909584,
81,0.471392543,8.350796700,
82,0.477192543,8.310894012,
83,0.482992543,8.352657318,
84,0.488792542,8.381456375,
85,0.494592542,8.399282455,
86,0.500392542,8.457934380,
87,0.506192542,8.423933029,
88,0.511992542,8.475580215,
89,0.517792542,8.521238327,
90,0.523592542,8.555923462,
91,0.529392542,8.557723999,
92,0.535192542,8.627244949,
93,0.540992542,8.606103897,
94,0.546792542,8.653682709,
95,0.552592542,8.599645615,
96,0.558392542,8.573487282,
97,0.564192542,8.642934799,
98,0.569992541,8.812982559,
99,0.575792541,8.743945122,
100,0.581592541,8.692828178,
101,0.587392541,8.392402649,
102,0.593192541,8.417943954,
103,0.598992541,8.523137093,
104,0.604792541,51.000000000,
105,0.610592541,8.703017235,
106,0.616392541,9.055252075,
107,0.622192541,9.016988754,
108,0.627992541,9.036495209,
109,0.633792541,9.122736931,
110,0.639592541,9.201998711,
111,0.645392540,9.161691666,
112,0.651192540,51.000000000,
113,0.656992540,9.272335052,
114,0.662792540,51.000000000,
115,0.668592540,9.312696457,
116,0.674392540,9.419804573,
117,0.680192540,9.460146904,
118,0.685992540,9.420763969,
119,0.691792540,9.485995293,
120,0.697592540,9.328473091,
121,0.703392540,51.000000000,
122,0.709192540,9.426547050,
123,0.714992540,9.625258446,
124,0.720792540,9.700410843,
125,0.726592539,9.747651100,
126,0.732392539,9.691243172,
127,0.738192539,9.664722443,
128,0.743992539,9.779697418,
129,0.749792539,9.952477455,
130,0.755592539,9.991703987,
131,0.761392539,9.983081818,
132,0.767192539,10.004352570,
133,0.772992539,9.896052361,
134,0.778792539,9.931257248,
135,0.784592539,10.163799286,
136,0.790392539,51.000000000,
137,0.796192539,10.351505280,
138,0.801992539,10.354795456,
139,0.807792538,10.394961357,
140,0.813592538,10.491943359,
141,0.819392538,10.497205734,
142,0.825192538,10.737750053,
143,0.830992538,10.908514023,
144,0.836792538,11.098234177,
145,0.842592538,11.032666206,
146,0.848392538,10.660994530,
147,0.854192538,10.543592453,
148,0.859992538,10.508934021,
149,0.865792538,10.442371368,
150,0.871592538,10.446580887,
151,0.877392538,1.725667238,
152,0.883192537,1.674276948,
153,0.888992537,10.442232132,
154,0.894792537,51.000000000,
155,0.900592537,11.759714127,
156,0.906392537,11.864647865,
157,0.912192537,1.650456190,
158,0.917992537,12.047578812,
159,0.923792537,11.998876572,
160,0.929592537,51.000000000,
161,0.935392537,12.144704819,
162,0.941192537,12.384325027,
163,0.946992537,12.522186279,
164,0.952792537,12.729897499,
165,0.958592537,12.842820168,
166,0.964392536,12.775124550,
167,0.970192536,12.880059242,
168,0.975992536,1.689273238,
169,0.981792536,1.696900725,
170,0.987592536,13.178903580,
171,0.993392536,1.703654766,
172,0.999192536,13.490441322,
173,1.004992536,13.719157219,
174,1.010792536,13.926921844,
175,1.016592536,14.005925179,
176,1.022392536,51.000000000,
177,1.028192536,14.068099022,
178,1.033992536,51.000000000,
179,1.039792535,14.304969788,
180,1.045592535,14.327072144,
181,1.051392535,14.372134209,
182,1.057192535,51.000000000,
183,1.062992535,14.391381264,
184,1.068792535,51.000000000,
185,1.074592535,14.644104004,
186,1.080392535,14.669204712,
187,1.086192535,14.646381378,
188,1.091992535,14.795285225,
189,1.097792535,14.982134819,
190,1.103592535,51.000000000,
191,1.109392535,51.000000000,
192,1.115192535,51.000000000,
193,1.120992534,51.000000000,
194,1.126792534,51.000000000,
195,1.132592534,51.000000000,
196,1.138392534,15.467456818,
197,1.144192534,1.443083286,
