frame_idx,gps_dist,log_gps,log_semantic,log_corridor,corridor_dist,corridor_heading_misalign,correct_hits,incorrect_hits,no_hits,weight,gps_weight_used,corridor_weight_used,num_background_used,num_observations,semantic_model_used,semantic_classes_mode,gps_enabled,semantic_enabled,corridor_enabled,background_enabled,dynamic_gps_enabled,pose_smoothing_enabled,detection_drop_rate,detections_raw,detections_kept,detections_dropped
0,2.41797137260437,-2.4159443378448486,-333.08172607421875,-0.07541809976100922,0.569431483745575,0.02870023250579834,70,0,56,0.048443786799907684,0.5434782608695653,0.3,120,126,wall,both,1,1,1,1,1,1,0.4,4,3,1
4,0.1087997555732727,-0.004891481716185808,0.0,-0.4590487778186798,1.4367525577545166,0.008920669555664062,0,0,0,0.0069461241364479065,0.5,0.3,0,0,wall,both,1,1,1,1,1,1,0.4,3,0,3
8,0.8600470423698425,-0.30565324425697327,0.0,-0.5893489122390747,1.6262245178222656,0.02015894651412964,0,0,0,0.007286019157618284,0.5,0.3,0,0,wall,both,1,1,1,1,1,1,0.4,3,0,3
12,0.6435702443122864,-0.1711498498916626,-472.8220520019531,-0.5737236738204956,1.3700941801071167,0.1958608627319336,49,0,80,0.011035612784326077,0.5376344086021506,0.3,120,129,wall,both,1,1,1,1,1,1,0.4,4,3,1
16,1.5814130306243896,-1.0334161520004272,-391.4792785644531,-0.47640806436538696,1.4640733003616333,0.004210948944091797,50,0,70,0.025839010253548622,0.5555555555555556,0.3,120,120,wall,both,1,1,1,1,1,1,0.4,4,1,3
20,2.1886613368988037,-1.979437232017517,-367.52020263671875,-0.07610268890857697,0.5728527903556824,0.02790433168411255,62,0,63,0.6032321453094482,0.5454545454545454,0.3,120,125,wall,both,1,1,1,1,1,1,0.4,2,1,1
24,3.381071090698242,-4.723818778991699,-672.000732421875,-0.10296184569597244,0.6530057191848755,0.04482907056808472,11,0,113,0.026983583346009254,0.5474452554744526,0.3,120,124,wall,both,1,1,1,1,1,1,0.4,6,6,0
28,0.4636930525302887,-0.08884762227535248,-525.47900390625,-0.125440314412117,0.7338969707489014,0.03753453493118286,30,0,95,0.041298139840364456,0.5454545454545454,0.3,120,125,wall,both,1,1,1,1,1,1,0.4,4,2,2
32,3.1595966815948486,-4.125227451324463,-603.5154418945312,-0.29474085569381714,0.9113268256187439,0.16430002450942993,41,0,86,0.03191063180565834,0.5415162454873647,0.3,120,127,wall,both,1,1,1,1,1,1,0.4,4,4,0
36,1.9101237058639526,-1.5076745748519897,0.0,-0.25106489658355713,1.0196388959884644,0.07005000114440918,0,0,0,0.0414801687002182,0.5,0.3,0,0,wall,both,1,1,1,1,1,1,0.4,4,0,4
40,1.7022788524627686,-1.1974185705184937,-463.5934753417969,-0.05403967946767807,0.46080833673477173,0.04097259044647217,51,0,72,0.04993268474936485,0.5494505494505495,0.3,120,123,wall,both,1,1,1,1,1,1,0.4,5,4,1
44,3.274898052215576,-4.431800365447998,0.0,-0.10410621762275696,0.6532410979270935,0.04767888784408569,0,0,0,0.025262830778956413,0.5,0.3,0,0,wall,both,1,1,1,1,1,1,0.4,4,0,4
48,3.3627569675445557,-4.6727824211120605,-625.4966430664062,-0.11213862150907516,0.7027191519737244,0.024259507656097412,39,0,91,0.03854954615235329,0.5357142857142857,0.3,120,130,wall,both,1,1,1,1,1,1,0.4,3,2,1
52,1.1741114854812622,-0.5696436762809753,-434.24591064453125,-0.05409443750977516,0.48461973667144775,0.021598994731903076,56,0,80,0.041833456605672836,0.5244755244755245,0.3,120,136,wall,both,1,1,1,1,1,1,0.4,4,3,1
56,0.32168909907341003,-0.04276192933320999,-302.48883056640625,-0.02837209403514862,0.27494877576828003,0.05324786901473999,76,0,44,0.03351002559065819,0.5555555555555556,0.3,120,120,wall,both,1,1,1,1,1,1,0.4,3,1,2
60,3.269443988800049,-4.417051315307617,-411.52435302734375,-0.0676082968711853,0.5370081663131714,0.0293847918510437,62,1,73,0.03493295982480049,0.5244755244755245,0.3,120,136,wall,both,1,1,1,1,1,1,0.4,5,3,2
64,1.9562994241714478,-1.581449270248413,-244.4714813232422,-0.21345780789852142,0.9483448266983032,0.05772453546524048,83,0,37,0.016043880954384804,0.5555555555555556,0.3,120,120,wall,both,1,1,1,1,1,1,0.4,4,2,2
68,2.6506426334381104,-2.9032669067382812,-196.4803924560547,-0.1410355269908905,0.7922482490539551,0.01952570676803589,94,0,26,0.015666084364056587,0.5555555555555556,0.3,120,120,wall,both,1,1,1,1,1,1,0.4,7,2,5
72,0.24846769869327545,-0.025510823354125023,-337.81658935546875,-0.12254922837018967,0.7341662049293518,0.026057720184326172,102,5,25,0.029859505593776703,0.5319148936170213,0.3,120,132,wall,both,1,1,1,1,1,1,0.4,4,2,2
76,6.715362548828125,-18.634748458862305,-568.6284790039062,-0.24805331230163574,1.054011344909668,0.016986966133117676,70,10,55,0.03217020630836487,0.5263157894736842,0.3,120,135,wall,both,1,1,1,1,1,1,0.4,5,3,2
80,2.2210474014282227,-2.0384509563446045,-344.0504455566406,-0.19110994040966034,0.9123961925506592,0.03871357440948486,95,2,35,0.04245069622993469,0.5319148936170213,0.3,120,132,wall,both,1,1,1,1,1,1,0.4,5,4,1
84,4.425446033477783,-8.092798233032227,-278.65350341796875,-0.016393296420574188,0.2602810561656952,0.018109440803527832,101,0,19,0.041769031435251236,0.5555555555555556,0.3,120,120,wall,both,1,1,1,1,1,1,0.4,5,1,4
88,3.5383901596069336,-5.173637866973877,-270.7682800292969,-0.1119062751531601,0.7087534666061401,0.008238732814788818,84,0,36,0.027935441583395004,0.5555555555555556,0.3,120,120,wall,both,1,1,1,1,1,1,0.4,6,3,3
92,1.9912935495376587,-1.6385329961776733,-303.1106262207031,-0.19597135484218597,0.9390513300895691,0.0017099976539611816,84,2,40,0.013651457615196705,0.5434782608695653,0.3,120,126,wall,both,1,1,1,1,1,1,0.4,7,4,3
96,0.5820478796958923,-0.1399916261434555,-228.6342010498047,-0.0737743079662323,0.510025143623352,0.06254845857620239,97,0,23,0.009095664136111736,0.5555555555555556,0.3,120,120,wall,both,1,1,1,1,1,1,0.4,7,4,3
100,0.34976544976234436,-0.05055201053619385,-302.9881591796875,-0.32210081815719604,1.0806399583816528,0.12383627891540527,105,1,31,0.015272527933120728,0.5226480836236934,0.3,120,137,wall,both,1,1,1,1,1,1,0.4,8,7,1
104,1.610586404800415,-1.0718960762023926,-224.39952087402344,-0.4206068515777588,1.29277503490448,0.10980647802352905,101,0,34,0.01762962155044079,0.5263157894736842,0.3,120,135,wall,both,1,1,1,1,1,1,0.4,5,3,2
108,0.6715630888938904,-0.1863623857498169,-257.8892517089844,-0.9505027532577515,1.9293391704559326,0.1738157868385315,78,0,42,0.010531257838010788,0.5555555555555556,0.3,120,120,wall,both,1,1,1,1,1,1,0.4,7,4,3
112,2.259929656982422,-2.1104471683502197,-257.44439697265625,-1.5531495809555054,2.3652727603912354,0.27555644512176514,76,0,44,0.01486932672560215,0.5555555555555556,0.3,120,120,wall,both,1,1,1,1,1,1,0.4,5,2,3
116,2.4088995456695557,-2.3978497982025146,-285.1852111816406,-1.4527056217193604,2.0998992919921875,0.3403467535972595,74,0,47,0.020193589851260185,0.5535055350553506,0.3,120,121,wall,both,1,1,1,1,1,1,0.4,5,4,1
120,3.377498149871826,-4.713840007781982,-299.6073913574219,-0.5263148546218872,1.4065742492675781,0.14571022987365723,72,0,48,0.022769968956708908,0.5555555555555556,0.3,120,120,wall,both,1,1,1,1,1,1,0.4,6,2,4
124,1.9311479330062866,-1.541046380996704,-393.8330078125,-1.5278059244155884,2.4623680114746094,0.21024233102798462,71,0,54,0.015541259199380875,0.5454545454545454,0.3,120,125,wall,both,1,1,1,1,1,1,0.4,7,5,2
128,1.8100064992904663,-1.3537700176239014,-294.9495849609375,-0.7706004977226257,1.7927260398864746,0.11755818128585815,72,0,48,0.022400109097361565,0.5555555555555556,0.3,120,120,wall,both,1,1,1,1,1,1,0.4,4,2,2
132,1.3394008874893188,-0.7413201332092285,-282.82537841796875,-0.5435845255851746,1.5639591217041016,0.0029723644256591797,81,0,44,0.03688572719693184,0.5454545454545454,0.3,120,125,wall,both,1,1,1,1,1,1,0.4,9,7,2
136,3.39174222946167,-4.753684043884277,-718.2855224609375,-1.4305859804153442,2.5306849479675293,0.04256010055541992,69,0,78,0.02551375702023506,0.5050505050505051,0.3,120,147,wall,both,1,1,1,1,1,1,0.4,8,5,3
140,0.8673405051231384,-0.3108593225479126,-675.6510009765625,-0.9190497994422913,2.0336296558380127,0.0020119547843933105,55,0,86,0.05140656977891922,0.5154639175257733,0.3,120,141,wall,both,1,1,1,1,1,1,0.4,6,4,2
144,1.1363253593444824,-0.533568263053894,-894.88525390625,-1.197707176208496,2.1765215396881104,0.18847155570983887,50,0,96,0.03900180011987686,0.5067567567567568,0.3,120,146,wall,both,1,1,1,1,1,1,0.4,7,5,2
148,0.2274220734834671,-0.021372228860855103,-696.230224609375,-0.9783656597137451,1.9364246129989624,0.1885392665863037,55,0,80,0.03846841678023338,0.5263157894736842,0.3,120,135,wall,both,1,1,1,1,1,1,0.4,8,8,0
152,3.5445735454559326,-5.191736221313477,-371.3226013183594,-0.5301710963249207,1.5445609092712402,0.002349674701690674,57,0,63,0.07772494107484818,0.5555555555555556,0.3,120,120,wall,both,1,1,1,1,1,1,0.4,7,5,2
156,0.7894465327262878,-0.2575313150882721,-371.8323669433594,-0.39503705501556396,1.3332756757736206,0.0015255212783813477,57,0,63,0.05392379313707352,0.5555555555555556,0.3,120,120,wall,both,1,1,1,1,1,1,0.4,6,5,1
160,1.7136272192001343,-1.2134371995925903,0.0,-0.3857283592224121,1.3170292377471924,0.008122384548187256,0,0,0,0.043411072343587875,0.5,0.3,0,0,wall,both,1,1,1,1,1,1,0.4,5,0,5
164,3.7749135494232178,-5.888418197631836,-517.3032836914062,-0.4516318440437317,1.4255766868591309,0.0020118355751037598,56,6,72,0.04054604843258858,0.528169014084507,0.3,120,134,wall,both,1,1,1,1,1,1,0.4,3,3,0
168,6.107343673706055,-15.413077354431152,-459.3072509765625,-0.6697890758514404,1.7360271215438843,0.0037674903869628906,48,2,78,0.03347102180123329,0.539568345323741,0.3,120,128,wall,both,1,1,1,1,1,1,0.4,5,4,1
172,3.2908449172973633,-4.475066184997559,-509.5649108886719,-0.2993207275867462,1.1593550443649292,0.01243293285369873,52,4,79,0.05385052412748337,0.5263157894736842,0.3,120,135,wall,both,1,1,1,1,1,1,0.4,4,3,1
176,1.6797434091567993,-1.1659246683120728,-353.6597595214844,-0.38963010907173157,1.3241263628005981,0.0011625289916992188,54,0,66,0.0365467332303524,0.5555555555555556,0.3,120,120,wall,both,1,1,1,1,1,1,0.4,5,2,3
180,2.3884174823760986,-2.3572468757629395,-334.7323303222656,-0.25419706106185913,1.0689224004745483,0.008386015892028809,65,0,60,0.040389541536569595,0.5454545454545454,0.3,120,125,wall,both,1,1,1,1,1,1,0.4,4,1,3
184,2.0703160762786865,-1.7711604833602905,-366.5101013183594,-0.11994977295398712,0.7214038968086243,0.03245800733566284,58,0,62,0.04552071541547775,0.5555555555555556,0.3,120,120,wall,both,1,1,1,1,1,1,0.4,4,1,3
188,3.5518574714660645,-5.213095188140869,-330.4460754394531,-0.24727150797843933,1.0548467636108398,0.0010464787483215332,72,1,63,0.03413483500480652,0.5244755244755245,0.3,120,136,wall,both,1,1,1,1,1,1,0.4,4,2,2
192,2.3370509147644043,-2.2569448947906494,-388.456787109375,-0.4247751235961914,1.3808459043502808,0.01608574390411377,58,0,74,0.03289853036403656,0.5319148936170213,0.3,120,132,wall,both,1,1,1,1,1,1,0.4,3,2,1
196,1.0384267568588257,-0.44559094309806824,-482.49639892578125,-0.3460274934768677,1.143398404121399,0.1166115403175354,54,0,80,0.0512060709297657,0.528169014084507,0.3,120,134,wall,both,1,1,1,1,1,1,0.4,1,1,0
200,1.9045920372009277,-1.4989547729492188,-366.16302490234375,-0.2676485478878021,1.0967955589294434,0.008909165859222412,55,0,65,0.029425108805298805,0.5555555555555556,0.3,120,120,wall,both,1,1,1,1,1,1,0.4,2,1,1
204,1.5724481344223022,-1.0217325687408447,-394.2374267578125,-0.24810346961021423,1.0565760135650635,0.0024774670600891113,61,0,75,0.038107432425022125,0.5244755244755245,0.3,120,136,wall,both,1,1,1,1,1,1,0.4,3,2,1
208,0.19385984539985657,-0.015529602766036987,0.0,-0.1800275593996048,0.8997124433517456,0.005910336971282959,0,0,0,0.02309590019285679,0.5,0.3,0,0,wall,both,1,1,1,1,1,1,0.4,2,0,2
212,0.15116442739963531,-0.009442430920898914,-517.6930541992188,-0.02240007556974888,0.31624993681907654,0.006542980670928955,62,0,75,0.029736382886767387,0.5226480836236934,0.3,120,137,wall,both,1,1,1,1,1,1,0.4,3,3,0
216,2.8748586177825928,-3.4152116775512695,-312.7409362792969,-0.21510174870491028,0.4118408262729645,0.20848369598388672,94,0,26,0.06488710641860962,0.5555555555555556,0.3,120,120,wall,both,1,1,1,1,1,1,0.4,1,1,0
220,2.3676743507385254,-2.3164799213409424,-219.05364990234375,-0.5693252086639404,0.833366870880127,0.31886202096939087,104,0,16,0.0846281573176384,0.5555555555555556,0.3,120,120,wall,both,1,1,1,1,1,1,0.4,1,1,0
224,0.4057261347770691,-0.06802218407392502,0.0,-0.028216389939188957,0.32137346267700195,0.0359157919883728,0,0,0,0.023104753345251083,0.5,0.3,0,0,wall,both,1,1,1,1,1,1,0.4,1,0,1
228,0.4277428090572357,-0.07560491561889648,0.0,-0.21245981752872467,0.9756988286972046,0.014905989170074463,0,0,0,0.014643342234194279,0.5,0.3,0,0,wall,both,1,1,1,1,1,1,0.4,1,0,1
232,2.1303787231445312,-1.875418782234192,0.0,-0.0997927337884903,0.6695621013641357,0.0064064860343933105,0,0,0,0.00832434557378292,0.5,0.3,0,0,wall,both,1,1,1,1,1,1,0.4,1,0,1
236,1.6539300680160522,-1.1303654909133911,-482.75616455078125,-0.04394860565662384,0.44471168518066406,0.00011533498764038086,98,11,16,0.019168106839060783,0.5454545454545454,0.3,100,125,wall,both,1,1,1,1,1,1,0.4,1,1,0
