trial,seed,command_runtime_sec,processed_frame_hz,effective_input_hz_with_stride,processed_frame_sec_mean,processed_frame_sec_p95,profiled_frames,warmup_frames,frame_stride,io_sec_mean_ms,io_sec_p95_ms,io_sec_share,semantic_inference_sec_mean_ms,semantic_inference_sec_p95_ms,semantic_inference_sec_share,lidar_association_sec_mean_ms,lidar_association_sec_p95_ms,lidar_association_sec_share,motion_update_sec_mean_ms,motion_update_sec_p95_ms,motion_update_sec_share,measurement_update_sec_mean_ms,measurement_update_sec_p95_ms,measurement_update_sec_share,pose_post_sec_mean_ms,pose_post_sec_p95_ms,pose_post_sec_share,resample_sec_mean_ms,resample_sec_p95_ms,resample_sec_share,visualization_sec_mean_ms,visualization_sec_p95_ms,visualization_sec_share,stats_write_sec_mean_ms,stats_write_sec_p95_ms,stats_write_sec_share,other_sec_mean_ms,other_sec_p95_ms,other_sec_share
1,11,22.836418616003357,13.177074509880182,52.70829803952073,0.07588937887921929,0.11484142004046587,200,20,4,23.267061985679902,24.550896568689488,0.3065918094113048,44.017411321401596,80.18985542003064,0.5800207087141523,0.21010411612223834,0.2869503572583198,0.0027685575929752527,0.10566161887254566,0.1288065395783633,0.001392311024718096,5.756615872378461,8.166790805989876,0.07585535627508988,0.1457192114321515,0.1813555660191923,0.0019201529065624443,1.9453214254463091,2.446409477852285,0.025633645368772343,0.0,0.0,0.0,0.1507554022828117,0.1671529549639672,0.0019865151686475706,0.290727925603278,0.3387314558494836,0.003830943537777296
2,12,22.849954250035807,13.153423655598662,52.61369462239465,0.07602583374362439,0.11552982728462666,200,20,4,23.213421153486706,25.269528233911842,0.3053359629276464,43.81768711726181,81.13251760951243,0.5763526022618123,0.2068516262806952,0.2770741819404065,0.00272080707431955,0.1070828182855621,0.1350741251371801,0.0014085056751454855,6.046540702227503,8.145373826846479,0.07953271150721938,0.1461719284998253,0.18213053117506203,0.0019226613021140783,2.040375568321906,2.361808117711916,0.02683792426667092,0.0,0.0,0.0,0.1595786726102233,0.1703970949165523,0.002099005887240345,0.2881241566501558,0.3352992353029549,0.0037898190978315734
3,13,23.174849144998007,12.802550754350484,51.21020301740194,0.07810943453281652,0.11448122704168778,200,20,4,23.764709964743815,25.44684195308946,0.30424890548605144,45.21669214882422,80.46819297014734,0.5788889961791632,0.2192630770150572,0.3177435370162129,0.0028071266720403293,0.1093911100178957,0.13858300517313182,0.0014004852380788476,6.15908246836625,8.714365819469093,0.07885196590148918,0.15712816035375,0.20086848526261747,0.002011641247866606,2.027816180489026,2.4781109939794983,0.0259612195712039,0.0,0.0,0.0,0.15440567687619478,0.1804219966288656,0.0019767865149673248,0.30094574613031,0.3603115037549286,0.0038528731891391698
