component,mean_ms_mean,mean_ms_std,p95_ms_mean,p95_ms_std,share_of_frame_time_mean,share_of_frame_time_std,equivalent_hz_from_mean_ms
io_sec,23.415064367970142,0.3039874458378317,25.089088918563597,0.4744452474726786,0.30539222594166754,0.0011724648590904472,42.70754862275402
semantic_inference_sec,44.35059686249588,0.7566790754209817,80.59685533323014,0.4843227267279427,0.5784207690517092,0.0018783446751295463,22.54761087207889
lidar_association_sec,0.21207293980599692,0.0064356994457611455,0.2939226920716464,0.021212241751694918,0.0027654971131117105,4.324110475480069e-05,4715.358786061032
motion_update_sec,0.10737851572533448,0.0018822470036440608,0.1341545566295584,0.004952678523948465,0.001400433979314143,8.097446894673377e-06,9312.849905263347
measurement_update_sec,5.987413014324072,0.20764609996121725,8.34217681743515,0.3225029638238604,0.07808001122793282,0.0019564434286062807,167.01704018206794
pose_post_sec,0.14967310009524226,0.006460238446011631,0.1881181941522906,0.011048872580347882,0.001951485152181043,5.2111801908577576e-05,6681.227283751487
resample_sec,2.0045043914190805,0.05163721673061807,2.4287761965145664,0.06012311714373665,0.026144263068882387,0.0006226560908822254,498.8764326388201
visualization_sec,0.0,0.0,0.0,0.0,0.0,0.0,
stats_write_sec,0.15491325058974326,0.004433480362385686,0.1726573488364617,0.006917255779068152,0.00202076919028508,6.792935476257678e-05,6455.22572273885
other_sec,0.29326594279458124,0.006777126061016833,0.34478073163578904,0.013559081695767063,0.003824545274916013,3.201027855842916e-05,3409.8742952244274
