method,ate_evo_rmse,rte2_evo_rmse,rte5_evo_rmse,rte10_evo_rmse,cross_track_mean,row_correct_fraction,row_switch_events
SPF LiDAR,1.521184801781577,3.1472796342834664,6.272505073397026,10.8829714590854,1.5406509351395177,0.606516290726817,38
SPF LiDAR++,1.0252578224888738,3.386901288060034,6.926534819232473,12.444102402943248,1.2360553268627164,0.7167919799498746,30
Noisy GPS,2.9945589291398798,3.675818287546627,4.260481969219651,4.107961258953123,1.8547771289963544,0.6215538847117794,70
AMCL,1.3002828158830904,4.755173217057186,5.5174434903395335,1.5986632873593132,1.2904598662050977,0.6234413965087282,28
RTABMap RGBD,6.81010318316702,4.058284966733027,8.2547778219374,4.808407076715303,5.834357972859172,0.3684210526315789,14
RTABMap RGB,6.761443559619296,1.1955097084696604,2.352360680217733,4.569660372165993,5.807971149379011,0.3660477453580902,15
