# angle_min_rad,0.001592549
# angle_max_rad,6.281592758
# angle_increment_rad,0.005800000
# time_increment_s,0.000000000
# scan_time_s,0.033333302
# range_min_m,0.300000012
# range_max_m,50.000000000
beam_index,angle_rad,range_m,intensity
0,0.001592549,15.143400192,
1,0.007392549,14.775164604,
2,0.013192549,13.385005951,
3,0.018992548,13.161685944,
4,0.024792548,12.818428040,
5,0.030592548,12.304777145,
6,0.036392548,11.997475624,
7,0.042192548,9.632080078,
8,0.047992548,11.319918633,
9,0.053792548,9.632914543,
10,0.059592548,8.797843933,
11,0.065392548,8.479722023,
12,0.071192548,8.475074768,
13,0.076992548,8.324973106,
14,0.082792548,51.000000000,
15,0.088592548,8.475236893,
16,0.094392548,51.000000000,
17,0.100192547,8.551544189,
18,0.105992547,8.497838020,
19,0.111792547,6.969007015,
20,0.117592547,6.992097378,
21,0.123392547,6.977396488,
22,0.129192547,6.901732445,
23,0.134992547,6.367769241,
24,0.140792547,6.254331112,
25,0.146592547,4.958405495,
26,0.152392547,6.129899502,
27,0.158192547,4.872769356,
28,0.163992547,5.759565353,
29,0.169792547,5.655062199,
30,0.175592546,5.627138615,
31,0.181392546,5.660851002,
32,0.187192546,4.452050686,
33,0.192992546,4.430315971,
34,0.198792546,5.156157494,
35,0.204592546,5.151986599,
36,0.210392546,5.117026806,
37,0.216192546,51.000000000,
38,0.221992546,3.602361679,
39,0.227792546,51.000000000,
40,0.233592546,3.611576080,
41,0.239392546,3.536585569,
42,0.245192546,4.408260822,
43,0.250992546,4.402940273,
44,0.256792545,3.329050064,
45,0.262592545,3.325505972,
46,0.268392545,3.506469011,
47,0.274192545,51.000000000,
48,0.279992545,3.412927389,
49,0.285792545,10.582426071,
50,0.291592545,10.398785591,
51,0.297392545,3.188109159,
52,0.303192545,10.266994476,
53,0.308992545,3.086046696,
54,0.314792545,3.139915466,
55,0.320592545,51.000000000,
56,0.326392545,3.058693171,
57,0.332192544,51.000000000,
58,0.337992544,51.000000000,
59,0.343792544,51.000000000,
60,0.349592544,2.815277815,
61,0.355392544,8.868476868,
62,0.361192544,2.753158808,
63,0.366992544,2.737252951,
64,0.372792544,2.938209295,
65,0.378592544,2.934449911,
66,0.384392544,2.620442390,
67,0.390192544,3.040881872,
68,0.395992544,2.993584156,
69,0.401792544,8.172938347,
70,0.407592544,2.439514875,
71,0.413392543,7.447441101,
72,0.419192543,2.391712427,
73,0.424992543,2.402430058,
74,0.430792543,2.407320976,
75,0.436592543,2.414178610,
76,0.442392543,7.561160564,
77,0.448192543,2.413267374,
78,0.453992543,2.395842075,
79,0.459792543,2.403733015,
80,0.465592543,7.320309639,
81,0.471392543,7.277484417,
82,0.477192543,7.204735756,
83,0.482992543,2.296114445,
84,0.488792542,6.495473385,
85,0.494592542,2.245960474,
86,0.500392542,2.275221586,
87,0.506192542,2.280303717,
88,0.511992542,2.289273262,
89,0.517792542,2.274081707,
90,0.523592542,6.329122543,
91,0.529392542,2.279219151,
92,0.535192542,2.282440662,
93,0.540992542,6.147614956,
94,0.546792542,6.162766933,
95,0.552592542,6.111342907,
96,0.558392542,2.154613495,
97,0.564192542,51.000000000,
98,0.569992541,5.938043594,
99,0.575792541,2.066770792,
