# angle_min_rad,0.001592549
# angle_max_rad,6.281592758
# angle_increment_rad,0.005800000
# time_increment_s,0.000000000
# scan_time_s,0.033333302
# range_min_m,0.300000012
# range_max_m,50.000000000
beam_index,angle_rad,range_m,intensity
0,0.001592549,9.526958466,
1,0.007392549,9.507591248,
2,0.013192549,9.494194031,
3,0.018992548,9.499753952,
4,0.024792548,9.408925056,
5,0.030592548,9.274593353,
6,0.036392548,9.203166008,
7,0.042192548,9.362418175,
8,0.047992548,9.661473274,
9,0.053792548,9.600953102,
10,0.059592548,9.688227654,
11,0.065392548,9.670609474,
12,0.071192548,9.665954590,
13,0.076992548,9.669266701,
14,0.082792548,9.631612778,
15,0.088592548,9.595934868,
16,0.094392548,9.614161491,
17,0.100192547,9.644348145,
18,0.105992547,9.668520927,
19,0.111792547,9.647738457,
20,0.117592547,9.717800140,
21,0.123392547,9.720937729,
22,0.129192547,9.717063904,
23,0.134992547,9.748192787,
24,0.140792547,9.737266541,
25,0.146592547,9.582550049,
26,0.152392547,9.347966194,
27,0.158192547,9.684395790,
28,0.163992547,9.705335617,
29,0.169792547,9.699297905,
30,0.175592546,9.733173370,
31,0.181392546,9.746061325,
32,0.187192546,9.769911766,
33,0.192992546,9.760795593,
34,0.198792546,9.733693123,
35,0.204592546,9.799405098,
36,0.210392546,9.752298355,
37,0.216192546,9.833938599,
38,0.221992546,9.824722290,
39,0.227792546,9.837446213,
40,0.233592546,9.866121292,
41,0.239392546,9.914737701,
42,0.245192546,9.898122787,
43,0.250992546,9.893778801,
44,0.256792545,9.901393890,
45,0.262592545,9.922959328,
46,0.268392545,9.979439735,
47,0.274192545,9.990984917,
48,0.279992545,9.973570824,
49,0.285792545,10.024000168,
50,0.291592545,10.000559807,
51,0.297392545,10.072906494,
52,0.303192545,10.061405182,
53,0.308992545,10.066848755,
54,0.314792545,10.073273659,
55,0.320592545,10.099636078,
56,0.326392545,10.124983788,
57,0.332192544,10.182245255,
58,0.337992544,2.823411226,
59,0.343792544,2.867382288,
60,0.349592544,2.871056795,
61,0.355392544,3.226938009,
62,0.361192544,2.843302965,
63,0.366992544,10.045718193,
64,0.372792544,10.117795944,
65,0.378592544,51.000000000,
66,0.384392544,10.296617508,
67,0.390192544,10.458466530,
68,0.395992544,10.475613594,
69,0.401792544,10.479772568,
70,0.407592544,10.509855270,
71,0.413392543,2.735577345,
72,0.419192543,2.723073483,
73,0.424992543,2.760374546,
74,0.430792543,10.543215752,
75,0.436592543,2.697851181,
76,0.442392543,10.455573082,
77,0.448192543,10.488517761,
78,0.453992543,10.508475304,
79,0.459792543,2.100639105,
80,0.465592543,2.123004913,
81,0.471392543,2.131859064,
82,0.477192543,10.734809875,
83,0.482992543,10.774643898,
84,0.488792542,10.810470581,
85,0.494592542,10.844286919,
86,0.500392542,51.000000000,
87,0.506192542,10.992828369,
88,0.511992542,2.153492928,
89,0.517792542,2.175963640,
90,0.523592542,51.000000000,
91,0.529392542,2.156996965,
92,0.535192542,11.131681442,
93,0.540992542,11.155419350,
94,0.546792542,2.064095259,
95,0.552592542,11.221807480,
96,0.558392542,2.053949594,
97,0.564192542,2.068749905,
98,0.569992541,11.302829742,
99,0.575792541,2.065813065,
100,0.581592541,11.438924789,
101,0.587392541,11.504460335,
102,0.593192541,11.505125046,
103,0.598992541,2.109698772,
104,0.604792541,11.577262878,
105,0.610592541,2.142135620,
106,0.616392541,2.108536243,
107,0.622192541,11.732769966,
108,0.627992541,11.631587982,
109,0.633792541,51.000000000,
110,0.639592541,51.000000000,
111,0.645392540,51.000000000,
