# angle_min_rad,0.001592549
# angle_max_rad,6.281592758
# angle_increment_rad,0.005800000
# time_increment_s,0.000000000
# scan_time_s,0.033333302
# range_min_m,0.300000012
# range_max_m,50.000000000
beam_index,angle_rad,range_m,intensity
0,0.001592549,19.826356888,
1,0.007392549,51.000000000,
2,0.013192549,51.000000000,
3,0.018992548,51.000000000,
4,0.024792548,51.000000000,
5,0.030592548,51.000000000,
6,0.036392548,51.000000000,
7,0.042192548,51.000000000,
8,0.047992548,51.000000000,
9,0.053792548,51.000000000,
10,0.059592548,51.000000000,
11,0.065392548,51.000000000,
12,0.071192548,19.963039398,
13,0.076992548,51.000000000,
14,0.082792548,51.000000000,
15,0.088592548,51.000000000,
16,0.094392548,51.000000000,
17,0.100192547,51.000000000,
18,0.105992547,51.000000000,
19,0.111792547,8.962994576,
20,0.117592547,15.767371178,
21,0.123392547,51.000000000,
22,0.129192547,51.000000000,
23,0.134992547,51.000000000,
24,0.140792547,51.000000000,
25,0.146592547,51.000000000,
26,0.152392547,14.910340309,
27,0.158192547,14.982310295,
28,0.163992547,51.000000000,
29,0.169792547,51.000000000,
30,0.175592546,15.027372360,
31,0.181392546,15.817239761,
32,0.187192546,15.907076836,
33,0.192992546,51.000000000,
34,0.198792546,51.000000000,
35,0.204592546,51.000000000,
36,0.210392546,51.000000000,
37,0.216192546,14.767556190,
38,0.221992546,51.000000000,
39,0.227792546,51.000000000,
40,0.233592546,14.819298744,
41,0.239392546,14.992483139,
42,0.245192546,14.175905228,
43,0.250992546,14.253499031,
44,0.256792545,14.227167130,
45,0.262592545,14.120889664,
46,0.268392545,14.157462120,
47,0.274192545,13.930833817,
48,0.279992545,5.740745544,
49,0.285792545,5.736288548,
50,0.291592545,13.892465591,
51,0.297392545,13.896955490,
52,0.303192545,13.343028069,
53,0.308992545,13.324511528,
54,0.314792545,51.000000000,
55,0.320592545,13.471211433,
56,0.326392545,51.000000000,
57,0.332192544,51.000000000,
58,0.337992544,15.711778641,
59,0.343792544,15.745099068,
60,0.349592544,51.000000000,
61,0.355392544,51.000000000,
62,0.361192544,17.247903824,
63,0.366992544,5.252360344,
64,0.372792544,16.908599854,
65,0.378592544,5.215149403,
66,0.384392544,5.302527428,
67,0.390192544,5.304681778,
68,0.395992544,14.915424347,
69,0.401792544,14.982517242,
70,0.407592544,14.853799820,
71,0.413392543,5.216169834,
72,0.419192543,15.651222229,
73,0.424992543,15.463499069,
74,0.430792543,15.398642540,
75,0.436592543,15.399701118,
76,0.442392543,15.362784386,
77,0.448192543,15.406765938,
78,0.453992543,51.000000000,
79,0.459792543,15.385798454,
80,0.465592543,51.000000000,
81,0.471392543,51.000000000,
82,0.477192543,51.000000000,
83,0.482992543,14.506654739,
84,0.488792542,14.559517860,
85,0.494592542,4.932744026,
86,0.500392542,4.914806843,
87,0.506192542,4.945256233,
88,0.511992542,4.973717690,
89,0.517792542,15.281058311,
90,0.523592542,9.260573387,
91,0.529392542,9.321591377,
92,0.535192542,9.406558990,
93,0.540992542,9.410758972,
94,0.546792542,9.369372368,
95,0.552592542,8.178141594,
96,0.558392542,9.073450089,
97,0.564192542,9.107625008,
98,0.569992541,8.986284256,
99,0.575792541,51.000000000,
100,0.581592541,8.772273064,
101,0.587392541,8.631072044,
102,0.593192541,8.718119621,
103,0.598992541,8.634758949,
104,0.604792541,8.606226921,
105,0.610592541,8.608603477,
106,0.616392541,9.074181557,
107,0.622192541,8.511346817,
108,0.627992541,8.570546150,
109,0.633792541,8.581927299,
110,0.639592541,8.010173798,
111,0.645392540,8.040565491,
112,0.651192540,8.048058510,
113,0.656992540,8.019716263,
114,0.662792540,8.016242027,
115,0.668592540,8.036637306,
116,0.674392540,8.013240814,
117,0.680192540,7.948049068,
118,0.685992540,8.074873924,
119,0.691792540,8.153937340,
120,0.697592540,8.179257393,
121,0.703392540,8.112022400,
122,0.709192540,7.800487041,
123,0.714992540,8.252828598,
124,0.720792540,8.032670975,
125,0.726592539,8.194267273,
126,0.732392539,8.116031647,
127,0.738192539,8.082579613,
128,0.743992539,8.066034317,
129,0.749792539,7.894653797,
130,0.755592539,7.921854019,
131,0.761392539,8.471869469,
132,0.767192539,7.983860493,
133,0.772992539,8.114506721,
134,0.778792539,8.167554855,
135,0.784592539,8.171844482,
136,0.790392539,8.070669174,
137,0.796192539,8.045101166,
138,0.801992539,8.093138695,
139,0.807792538,8.131221771,
140,0.813592538,7.979568481,
141,0.819392538,51.000000000,
142,0.825192538,8.111130714,
143,0.830992538,8.125311852,
144,0.836792538,8.101683617,
145,0.842592538,8.056166649,
146,0.848392538,7.939267159,
147,0.854192538,6.114690781,
148,0.859992538,7.946670532,
149,0.865792538,7.966773510,
150,0.871592538,7.955046654,
151,0.877392538,8.382106781,
152,0.883192537,8.044760704,
153,0.888992537,7.958621025,
154,0.894792537,8.419332504,
