# angle_min_rad,0.001592549
# angle_max_rad,6.281592758
# angle_increment_rad,0.005800000
# time_increment_s,0.000000000
# scan_time_s,0.033333302
# range_min_m,0.300000012
# range_max_m,50.000000000
beam_index,angle_rad,range_m,intensity
0,0.001592549,10.422460556,
1,0.007392549,10.346742630,
2,0.013192549,10.252405167,
3,0.018992548,10.070138931,
4,0.024792548,10.088651657,
5,0.030592548,10.075175285,
6,0.036392548,9.811950684,
7,0.042192548,9.780456543,
8,0.047992548,10.192439079,
9,0.053792548,10.632391930,
10,0.059592548,10.648762703,
11,0.065392548,10.584193230,
12,0.071192548,10.496631622,
13,0.076992548,10.418042183,
14,0.082792548,10.429330826,
15,0.088592548,10.417624474,
16,0.094392548,10.460832596,
17,0.100192547,10.466061592,
18,0.105992547,10.399548531,
19,0.111792547,10.509583473,
20,0.117592547,10.579644203,
21,0.123392547,10.585762024,
22,0.129192547,10.569885254,
23,0.134992547,10.551991463,
24,0.140792547,10.615969658,
25,0.146592547,10.676930428,
26,0.152392547,10.671954155,
27,0.158192547,10.689927101,
28,0.163992547,10.585043907,
29,0.169792547,10.572018623,
30,0.175592546,10.649845123,
31,0.181392546,10.706679344,
32,0.187192546,10.637668610,
33,0.192992546,10.603590965,
34,0.198792546,10.605441093,
35,0.204592546,10.614259720,
36,0.210392546,10.677977562,
37,0.216192546,10.691747665,
38,0.221992546,10.692267418,
39,0.227792546,10.668037415,
40,0.233592546,10.640790939,
41,0.239392546,10.667440414,
42,0.245192546,10.729013443,
43,0.250992546,10.721675873,
44,0.256792545,10.749263763,
45,0.262592545,10.726913452,
46,0.268392545,3.371442795,
47,0.274192545,3.470836163,
48,0.279992545,3.481194496,
49,0.285792545,10.745141983,
50,0.291592545,10.777601242,
51,0.297392545,10.851971626,
52,0.303192545,3.822736025,
53,0.308992545,2.980943918,
54,0.314792545,10.915239334,
55,0.320592545,10.905677795,
56,0.326392545,10.962980270,
57,0.332192544,2.710984945,
58,0.337992544,3.364207983,
59,0.343792544,2.693023205,
60,0.349592544,3.326643944,
61,0.355392544,3.336615562,
62,0.361192544,2.715862751,
63,0.366992544,51.000000000,
64,0.372792544,2.702917576,
65,0.378592544,2.711575270,
66,0.384392544,2.711428881,
67,0.390192544,11.246699333,
68,0.395992544,2.693667412,
69,0.401792544,2.668109894,
70,0.407592544,11.150535583,
71,0.413392543,2.639665365,
72,0.419192543,2.659195423,
73,0.424992543,51.000000000,
74,0.430792543,2.611270428,
75,0.436592543,2.573200464,
76,0.442392543,11.403527260,
77,0.448192543,11.457445145,
78,0.453992543,11.528313637,
79,0.459792543,2.607259274,
80,0.465592543,11.440450668,
81,0.471392543,2.673768997,
82,0.477192543,2.682132483,
83,0.482992543,2.641601801,
84,0.488792542,11.741604805,
85,0.494592542,51.000000000,
86,0.500392542,51.000000000,
87,0.506192542,51.000000000,
88,0.511992542,51.000000000,
