# angle_min_rad,0.001592549
# angle_max_rad,6.281592758
# angle_increment_rad,0.005800000
# time_increment_s,0.000000000
# scan_time_s,0.033333302
# range_min_m,0.300000012
# range_max_m,50.000000000
beam_index,angle_rad,range_m,intensity
0,0.001592549,5.598308086,
1,0.007392549,5.613460541,
2,0.013192549,5.665841579,
3,0.018992548,5.622545242,
4,0.024792548,5.627054214,
5,0.030592548,5.674379826,
6,0.036392548,5.686811924,
7,0.042192548,5.736082077,
8,0.047992548,5.701648235,
9,0.053792548,5.719990253,
10,0.059592548,5.679914951,
11,0.065392548,5.589649200,
12,0.071192548,5.576044083,
13,0.076992548,5.603239536,
14,0.082792548,5.610499382,
15,0.088592548,5.501532555,
16,0.094392548,5.565463066,
17,0.100192547,10.566573143,
18,0.105992547,5.747827530,
19,0.111792547,5.750992775,
20,0.117592547,10.539070129,
21,0.123392547,6.148551464,
22,0.129192547,6.035124302,
23,0.134992547,5.960533619,
24,0.140792547,6.055175781,
25,0.146592547,6.139842987,
26,0.152392547,6.169725895,
27,0.158192547,6.200582504,
28,0.163992547,6.225442886,
29,0.169792547,6.240325451,
30,0.175592546,6.244235039,
31,0.181392546,6.242150307,
32,0.187192546,6.250001431,
33,0.192992546,6.240910053,
34,0.198792546,6.265469551,
35,0.204592546,6.299118519,
36,0.210392546,6.317815304,
37,0.216192546,6.317580700,
38,0.221992546,6.256620884,
39,0.227792546,6.248391151,
40,0.233592546,6.178455353,
41,0.239392546,6.174171448,
42,0.245192546,6.130735397,
43,0.250992546,6.017003059,
44,0.256792545,6.050441742,
45,0.262592545,6.128610611,
46,0.268392545,5.995526791,
47,0.274192545,5.798293591,
48,0.279992545,5.832621098,
49,0.285792545,5.981219769,
50,0.291592545,51.000000000,
51,0.297392545,6.167608738,
52,0.303192545,6.218783855,
53,0.308992545,6.250054836,
54,0.314792545,6.442408085,
55,0.320592545,6.575099468,
56,0.326392545,6.624219894,
57,0.332192544,11.561782837,
58,0.337992544,6.721076488,
59,0.343792544,6.766182899,
60,0.349592544,6.829180717,
61,0.355392544,6.814553738,
62,0.361192544,6.820803165,
63,0.366992544,6.831014633,
64,0.372792544,6.856130600,
65,0.378592544,6.901126862,
66,0.384392544,6.968988895,
67,0.390192544,6.989077568,
68,0.395992544,7.007157803,
69,0.401792544,6.982440948,
70,0.407592544,6.981585979,
71,0.413392543,7.012548447,
72,0.419192543,7.006775856,
73,0.424992543,51.000000000,
74,0.430792543,7.115283012,
75,0.436592543,7.211843014,
76,0.442392543,6.706704140,
77,0.448192543,6.702734947,
78,0.453992543,6.771317005,
79,0.459792543,51.000000000,
80,0.465592543,12.587460518,
81,0.471392543,7.286437511,
82,0.477192543,7.353037357,
83,0.482992543,7.358930588,
84,0.488792542,7.362820148,
85,0.494592542,7.204434872,
86,0.500392542,7.315706730,
87,0.506192542,7.321528435,
88,0.511992542,7.219916821,
89,0.517792542,7.291352272,
90,0.523592542,7.397592545,
91,0.529392542,51.000000000,
92,0.535192542,7.437952042,
93,0.540992542,13.437891960,
94,0.546792542,7.491434574,
95,0.552592542,7.674244881,
96,0.558392542,7.812294006,
97,0.564192542,7.919492245,
98,0.569992541,7.924170017,
99,0.575792541,7.915897369,
100,0.581592541,7.997182846,
101,0.587392541,8.025707245,
102,0.593192541,7.986541271,
103,0.598992541,8.003097534,
104,0.604792541,51.000000000,
105,0.610592541,8.062047958,
106,0.616392541,8.024825096,
107,0.622192541,8.046307564,
108,0.627992541,51.000000000,
109,0.633792541,8.180244446,
110,0.639592541,8.268395424,
111,0.645392540,8.248037338,
112,0.651192540,8.166484833,
113,0.656992540,51.000000000,
114,0.662792540,8.236667633,
115,0.668592540,8.074449539,
116,0.674392540,8.015230179,
117,0.680192540,8.078391075,
118,0.685992540,51.000000000,
119,0.691792540,51.000000000,
120,0.697592540,8.881223679,
121,0.703392540,8.995202065,
122,0.709192540,9.025512695,
123,0.714992540,9.057804108,
124,0.720792540,9.112997055,
125,0.726592539,9.200057030,
126,0.732392539,9.273164749,
127,0.738192539,9.312397003,
128,0.743992539,9.307786942,
129,0.749792539,9.368918419,
130,0.755592539,9.453953743,
131,0.761392539,8.751486778,
132,0.767192539,8.685116768,
133,0.772992539,8.619741440,
134,0.778792539,8.577257156,
135,0.784592539,51.000000000,
136,0.790392539,51.000000000,
137,0.796192539,10.107594490,
138,0.801992539,10.212543488,
139,0.807792538,10.254692078,
140,0.813592538,51.000000000,
141,0.819392538,10.339698792,
142,0.825192538,10.416727066,
143,0.830992538,10.570516586,
144,0.836792538,10.718327522,
145,0.842592538,10.863150597,
146,0.848392538,10.970087051,
147,0.854192538,11.026165962,
148,0.859992538,51.000000000,
149,0.865792538,11.144066811,
150,0.871592538,10.826421738,
151,0.877392538,10.673096657,
152,0.883192537,51.000000000,
153,0.888992537,11.427168846,
154,0.894792537,11.538081169,
155,0.900592537,11.630043030,
156,0.906392537,11.647194862,
157,0.912192537,11.528689384,
158,0.917992537,11.448088646,
159,0.923792537,11.963960648,
160,0.929592537,51.000000000,
161,0.935392537,12.265424728,
162,0.941192537,12.541971207,
163,0.946992537,12.826524734,
164,0.952792537,12.972385406,
165,0.958592537,51.000000000,
166,0.964392536,13.233020782,
167,0.970192536,13.384881020,
168,0.975992536,51.000000000,
169,0.981792536,13.791424751,
170,0.987592536,51.000000000,
171,0.993392536,51.000000000,
172,0.999192536,14.429757118,
173,1.004992536,14.363016129,
174,1.010792536,51.000000000,
175,1.016592536,51.000000000,
176,1.022392536,51.000000000,
177,1.028192536,51.000000000,
178,1.033992536,14.963616371,
179,1.039792535,14.909841537,
180,1.045592535,51.000000000,
181,1.051392535,51.000000000,
182,1.057192535,51.000000000,
183,1.062992535,51.000000000,
184,1.068792535,51.000000000,
185,1.074592535,51.000000000,
186,1.080392535,51.000000000,
187,1.086192535,51.000000000,
188,1.091992535,51.000000000,
189,1.097792535,51.000000000,
190,1.103592535,51.000000000,
191,1.109392535,51.000000000,
192,1.115192535,51.000000000,
193,1.120992534,51.000000000,
194,1.126792534,51.000000000,
195,1.132592534,51.000000000,
196,1.138392534,51.000000000,
197,1.144192534,51.000000000,
198,1.149992534,51.000000000,
199,1.155792534,51.000000000,
200,1.161592534,51.000000000,
201,1.167392534,51.000000000,
202,1.173192534,51.000000000,
203,1.178992534,51.000000000,
204,1.184792534,51.000000000,
205,1.190592534,51.000000000,
206,1.196392533,51.000000000,
207,1.202192533,51.000000000,
208,1.207992533,51.000000000,
209,1.213792533,51.000000000,
210,1.219592533,51.000000000,
211,1.225392533,51.000000000,
212,1.231192533,51.000000000,
213,1.236992533,51.000000000,
214,1.242792533,51.000000000,
215,1.248592533,51.000000000,
216,1.254392533,51.000000000,
217,1.260192533,51.000000000,
218,1.265992533,51.000000000,
219,1.271792533,51.000000000,
220,1.277592532,51.000000000,
221,1.283392532,51.000000000,
222,1.289192532,51.000000000,
223,1.294992532,51.000000000,
224,1.300792532,51.000000000,
225,1.306592532,51.000000000,
226,1.312392532,51.000000000,
227,1.318192532,51.000000000,
228,1.323992532,51.000000000,
229,1.329792532,51.000000000,
230,1.335592532,51.000000000,
231,1.341392532,51.000000000,
232,1.347192532,51.000000000,
233,1.352992531,51.000000000,
234,1.358792531,51.000000000,
235,1.364592531,51.000000000,
236,1.370392531,51.000000000,
237,1.376192531,51.000000000,
238,1.381992531,51.000000000,
239,1.387792531,51.000000000,
240,1.393592531,51.000000000,
241,1.399392531,51.000000000,
242,1.405192531,51.000000000,
243,1.410992531,51.000000000,
244,1.416792531,51.000000000,
245,1.422592531,51.000000000,
246,1.428392531,51.000000000,
247,1.434192530,51.000000000,
248,1.439992530,8.884889603,
249,1.445792530,51.000000000,
250,1.451592530,51.000000000,
251,1.457392530,51.000000000,
252,1.463192530,51.000000000,
253,1.468992530,11.406471252,
254,1.474792530,51.000000000,
255,1.480592530,51.000000000,
256,1.486392530,3.973798752,
257,1.492192530,3.927325010,
258,1.497992530,51.000000000,
259,1.503792530,3.894550562,
260,1.509592530,51.000000000,
261,1.515392529,51.000000000,
262,1.521192529,51.000000000,
263,1.526992529,51.000000000,
264,1.532792529,6.418035984,
265,1.538592529,6.422695160,
266,1.544392529,51.000000000,
267,1.550192529,51.000000000,
268,1.555992529,51.000000000,
269,1.561792529,51.000000000,
270,1.567592529,51.000000000,
271,1.573392529,51.000000000,
272,1.579192529,51.000000000,
273,1.584992529,51.000000000,
274,1.590792528,51.000000000,
