# angle_min_rad,0.001592549
# angle_max_rad,6.281592758
# angle_increment_rad,0.005800000
# time_increment_s,0.000000000
# scan_time_s,0.033333302
# range_min_m,0.300000012
# range_max_m,50.000000000
beam_index,angle_rad,range_m,intensity
0,0.001592549,6.686951637,
1,0.007392549,6.792306423,
2,0.013192549,6.938545227,
3,0.018992548,7.048844337,
4,0.024792548,7.084286690,
5,0.030592548,7.131678581,
6,0.036392548,51.000000000,
7,0.042192548,7.364636898,
8,0.047992548,7.308629990,
9,0.053792548,7.267129898,
10,0.059592548,6.860901833,
11,0.065392548,6.890178204,
12,0.071192548,6.872559547,
13,0.076992548,7.105242252,
14,0.082792548,51.000000000,
15,0.088592548,7.177333355,
16,0.094392548,51.000000000,
17,0.100192547,7.310475349,
18,0.105992547,7.206154346,
19,0.111792547,7.152476311,
20,0.117592547,7.402936935,
21,0.123392547,6.831855297,
22,0.129192547,6.754214764,
23,0.134992547,14.942434311,
24,0.140792547,51.000000000,
25,0.146592547,8.274106026,
26,0.152392547,8.286087990,
27,0.158192547,8.350928307,
28,0.163992547,8.297019958,
29,0.169792547,8.450611115,
30,0.175592546,8.485453606,
31,0.181392546,8.499321938,
32,0.187192546,8.557068825,
33,0.192992546,8.547948837,
34,0.198792546,8.658528328,
35,0.204592546,8.795031548,
36,0.210392546,8.862670898,
37,0.216192546,8.908337593,
38,0.221992546,8.935026169,
39,0.227792546,8.855937004,
40,0.233592546,8.864627838,
41,0.239392546,9.052881241,
42,0.245192546,9.173274994,
43,0.250992546,9.146979332,
44,0.256792545,9.127650261,
45,0.262592545,9.190112114,
46,0.268392545,51.000000000,
47,0.274192545,9.396230698,
48,0.279992545,9.755016327,
49,0.285792545,9.826402664,
50,0.291592545,9.928707123,
51,0.297392545,10.067917824,
52,0.303192545,10.260007858,
53,0.308992545,10.521953583,
54,0.314792545,10.432553291,
55,0.320592545,10.476878166,
56,0.326392545,9.618491173,
57,0.332192544,51.000000000,
58,0.337992544,9.881259918,
59,0.343792544,10.078174591,
60,0.349592544,51.000000000,
61,0.355392544,10.772380829,
62,0.361192544,10.715773582,
63,0.366992544,10.577317238,
64,0.372792544,10.521681786,
65,0.378592544,51.000000000,
66,0.384392544,11.140689850,
67,0.390192544,11.261671066,
68,0.395992544,11.919703484,
69,0.401792544,12.285272598,
70,0.407592544,51.000000000,
71,0.413392543,12.533026695,
72,0.419192543,12.704887390,
73,0.424992543,12.861756325,
74,0.430792543,13.018610954,
75,0.436592543,13.343215942,
76,0.442392543,13.396188736,
77,0.448192543,13.529035568,
78,0.453992543,13.686834335,
79,0.459792543,51.000000000,
80,0.465592543,51.000000000,
81,0.471392543,51.000000000,
82,0.477192543,13.973338127,
83,0.482992543,14.015213966,
84,0.488792542,51.000000000,
85,0.494592542,51.000000000,
86,0.500392542,51.000000000,
87,0.506192542,51.000000000,
88,0.511992542,15.320163727,
89,0.517792542,15.402916908,
90,0.523592542,51.000000000,
91,0.529392542,51.000000000,
92,0.535192542,51.000000000,
93,0.540992542,51.000000000,
94,0.546792542,51.000000000,
95,0.552592542,51.000000000,
96,0.558392542,51.000000000,
97,0.564192542,51.000000000,
98,0.569992541,51.000000000,
99,0.575792541,51.000000000,
100,0.581592541,51.000000000,
101,0.587392541,51.000000000,
102,0.593192541,51.000000000,
103,0.598992541,51.000000000,
104,0.604792541,51.000000000,
105,0.610592541,51.000000000,
106,0.616392541,51.000000000,
107,0.622192541,51.000000000,
108,0.627992541,51.000000000,
109,0.633792541,51.000000000,
110,0.639592541,51.000000000,
111,0.645392540,51.000000000,
112,0.651192540,51.000000000,
113,0.656992540,51.000000000,
114,0.662792540,51.000000000,
115,0.668592540,51.000000000,
116,0.674392540,51.000000000,
117,0.680192540,51.000000000,
118,0.685992540,51.000000000,
119,0.691792540,51.000000000,
120,0.697592540,51.000000000,
121,0.703392540,51.000000000,
122,0.709192540,51.000000000,
123,0.714992540,51.000000000,
124,0.720792540,51.000000000,
125,0.726592539,51.000000000,
126,0.732392539,51.000000000,
127,0.738192539,51.000000000,
128,0.743992539,51.000000000,
129,0.749792539,51.000000000,
130,0.755592539,51.000000000,
131,0.761392539,51.000000000,
132,0.767192539,51.000000000,
133,0.772992539,51.000000000,
134,0.778792539,51.000000000,
135,0.784592539,51.000000000,
136,0.790392539,51.000000000,
