# angle_min_rad,0.001592549
# angle_max_rad,6.281592758
# angle_increment_rad,0.005800000
# time_increment_s,0.000000000
# scan_time_s,0.033333302
# range_min_m,0.300000012
# range_max_m,50.000000000
beam_index,angle_rad,range_m,intensity
0,0.001592549,51.000000000,
1,0.007392549,19.528034210,
2,0.013192549,51.000000000,
3,0.018992548,51.000000000,
4,0.024792548,51.000000000,
5,0.030592548,51.000000000,
6,0.036392548,51.000000000,
7,0.042192548,51.000000000,
8,0.047992548,51.000000000,
9,0.053792548,51.000000000,
10,0.059592548,51.000000000,
11,0.065392548,12.948821068,
12,0.071192548,51.000000000,
13,0.076992548,12.216019630,
14,0.082792548,51.000000000,
15,0.088592548,10.943044662,
16,0.094392548,51.000000000,
17,0.100192547,51.000000000,
18,0.105992547,9.507945061,
19,0.111792547,9.522091866,
20,0.117592547,51.000000000,
21,0.123392547,51.000000000,
22,0.129192547,51.000000000,
23,0.134992547,8.108395576,
24,0.140792547,7.425235748,
25,0.146592547,5.149646282,
26,0.152392547,51.000000000,
27,0.158192547,5.097845554,
28,0.163992547,20.098495483,
29,0.169792547,5.024191856,
30,0.175592546,6.617764950,
31,0.181392546,4.538583279,
32,0.187192546,51.000000000,
33,0.192992546,4.504900455,
34,0.198792546,4.541860580,
35,0.204592546,12.706464767,
36,0.210392546,4.331275940,
37,0.216192546,5.342411041,
38,0.221992546,4.184453487,
39,0.227792546,4.113216877,
40,0.233592546,4.104583740,
41,0.239392546,11.326043129,
42,0.245192546,4.018554688,
43,0.250992546,3.968313694,
44,0.256792545,51.000000000,
45,0.262592545,3.942915201,
46,0.268392545,51.000000000,
47,0.274192545,3.794617414,
48,0.279992545,3.780216455,
49,0.285792545,10.115436554,
50,0.291592545,51.000000000,
51,0.297392545,9.911258698,
52,0.303192545,9.368733406,
53,0.308992545,3.968312740,
54,0.314792545,3.945069551,
55,0.320592545,3.939525127,
56,0.326392545,51.000000000,
57,0.332192544,51.000000000,
58,0.337992544,51.000000000,
59,0.343792544,51.000000000,
60,0.349592544,51.000000000,
61,0.355392544,10.113737106,
62,0.361192544,8.470744133,
63,0.366992544,8.466488838,
64,0.372792544,8.444299698,
65,0.378592544,51.000000000,
66,0.384392544,2.914312601,
67,0.390192544,2.902394533,
68,0.395992544,8.200349808,
69,0.401792544,2.876763105,
70,0.407592544,51.000000000,
71,0.413392543,7.668687344,
72,0.419192543,7.382572651,
73,0.424992543,7.445267200,
74,0.430792543,12.396866798,
75,0.436592543,51.000000000,
76,0.442392543,51.000000000,
77,0.448192543,7.194090366,
78,0.453992543,8.252259254,
79,0.459792543,51.000000000,
80,0.465592543,7.717443943,
81,0.471392543,2.798523664,
82,0.477192543,2.791600704,
83,0.482992543,2.685709238,
84,0.488792542,51.000000000,
85,0.494592542,51.000000000,
