frame_idx,gps_dist,log_gps,log_semantic,log_corridor,corridor_dist,corridor_heading_misalign,correct_hits,incorrect_hits,no_hits,weight,gps_weight_used,corridor_weight_used,num_background_used,num_observations,semantic_model_used,gps_enabled,semantic_enabled,corridor_enabled,background_enabled,dynamic_gps_enabled,pose_smoothing_enabled
0,0.0,0.0,-217.4294891357422,-0.11926588416099548,0.714044988155365,0.03822416067123413,94,0,32,0.21533706784248352,0.0,0.3,120,126,wall,0,1,1,1,1,1
4,0.0,0.0,-226.38671875,-0.11984918266534805,0.7228713631629944,0.03022390604019165,91,0,34,0.011110506020486355,0.0,0.3,120,125,wall,0,1,1,1,1,1
8,0.0,0.0,-222.90310668945312,-0.09698846936225891,0.6416708827018738,0.036676108837127686,93,0,32,0.027353908866643906,0.0,0.3,120,125,wall,0,1,1,1,1,1
12,0.0,0.0,-205.75985717773438,-0.12972471117973328,0.7566245794296265,0.024782180786132812,98,0,31,0.02790575660765171,0.0,0.3,120,129,wall,0,1,1,1,1,1
16,0.0,0.0,-199.2272491455078,-0.1347058117389679,0.7705251574516296,0.026053190231323242,96,0,30,0.024537842720746994,0.0,0.3,120,126,wall,0,1,1,1,1,1
20,0.0,0.0,-212.42286682128906,-0.15667715668678284,0.833912193775177,0.02290666103363037,93,0,32,0.02570347860455513,0.0,0.3,120,125,wall,0,1,1,1,1,1
24,0.0,0.0,-220.6277313232422,-0.14722761511802673,0.8056483268737793,0.027065694332122803,90,0,34,0.031735870987176895,0.0,0.3,120,124,wall,0,1,1,1,1,1
28,0.0,0.0,-229.6699981689453,-0.15617883205413818,0.8319412469863892,0.02411198616027832,89,0,36,0.04492666944861412,0.0,0.3,120,125,wall,0,1,1,1,1,1
32,0.0,0.0,-210.30946350097656,-0.08712071180343628,0.6118499636650085,0.031027913093566895,97,0,30,0.130838543176651,0.0,0.3,120,127,wall,0,1,1,1,1,1
36,0.0,0.0,-817.6275634765625,-0.09446169435977936,0.6134956479072571,0.05149257183074951,88,30,42,0.028981290757656097,0.0,0.3,120,160,wall,0,1,1,1,1,1
40,0.0,0.0,-667.3373413085938,-0.17427349090576172,0.8855556845664978,0.0010886192321777344,91,18,47,0.08156182616949081,0.0,0.3,120,156,wall,0,1,1,1,1,1
44,0.0,0.0,-212.90447998046875,-0.12069466710090637,0.7113447785377502,0.04495203495025635,94,0,37,0.07939612120389938,0.0,0.3,120,131,wall,0,1,1,1,1,1
48,0.0,0.0,-227.29290771484375,-0.14365814626216888,0.44786974787712097,0.1558055877685547,100,0,30,0.032159410417079926,0.0,0.3,120,130,wall,0,1,1,1,1,1
52,0.0,0.0,-166.6514434814453,-0.23367951810359955,1.025095820426941,0.006332039833068848,115,1,20,0.05643578618764877,0.0,0.3,120,136,wall,0,1,1,1,1,1
56,0.0,0.0,-273.29925537109375,-0.12226337194442749,0.7417051792144775,0.0017861723899841309,118,0,21,0.03209870681166649,0.0,0.3,120,139,wall,0,1,1,1,1,1
60,0.0,0.0,-219.1723175048828,-0.07383713126182556,0.5626917481422424,0.02918541431427002,102,0,34,0.04488668963313103,0.0,0.3,120,136,wall,0,1,1,1,1,1
64,0.0,0.0,-188.302490234375,-0.1008533239364624,0.6666984558105469,0.022566020488739014,114,1,24,0.0295734703540802,0.0,0.3,120,139,wall,0,1,1,1,1,1
68,0.0,0.0,-207.10694885253906,-0.08535411953926086,0.613029420375824,0.021242916584014893,104,0,31,0.02620050311088562,0.0,0.3,120,135,wall,0,1,1,1,1,1
72,0.0,0.0,-115.7651138305664,-0.21280092000961304,0.978572428226471,8.45193862915039e-05,118,0,14,0.02895433083176613,0.0,0.3,120,132,wall,0,1,1,1,1,1
