method,ate_rmse,ate_mean,ate_median,ate_max,rte_2m_mean,rte_2m_rmse,rte_2m_count,rte_5m_mean,rte_5m_rmse,rte_5m_count,rte_10m_mean,rte_10m_rmse,rte_10m_count,rte_2m_umey_mean,rte_2m_umey_rmse,rte_2m_umey_count,rte_5m_umey_mean,rte_5m_umey_rmse,rte_5m_umey_count,rte_10m_umey_mean,rte_10m_umey_rmse,rte_10m_umey_count,cross_track_mean,cross_track_median,cross_track_max,row_correct_fraction,row_switch_events,ate_umeyama_rmse,ate_umeyama_mean,ate_umeyama_median,ate_umeyama_max,ate_align_rmse,rpe_2m_align_rmse,rpe_5m_align_rmse,rpe_10m_align_rmse,speed_mean,accel_rms,jerk_rms,heading_rate_rms,heading_accel_rms
SPF LiDAR++,2.772753424141648,2.1810017660344174,1.7500021350025337,16.03237089863903,1.2084324629842862,1.9141057532516788,389,1.8077615652698382,2.641507951721907,385,2.4292859189995886,3.2238274837174123,380,1.2084324629842862,1.9141057532516788,389,1.8077615652698382,2.641507951721907,385,2.4292859189995886,3.2238274837174123,380,1.8424005591128283,1.419259263167548,12.283724165423472,0.5213032581453634,36,2.772753424141648,2.1810017660344174,1.7500021350025337,16.03237089863903,2.772753424141648,1.9141057532516788,2.641507951721907,3.2238274837174123,0.257630942372874,0.09395312882138698,0.0376102037269457,0.30428841147001806,0.12760809359811023
AMCL,1.4244745146918976,1.328071363714276,1.2842954989573225,5.731082001749288,0.49765328676423504,0.8989162324501904,397,0.7093969369883619,1.0625647266443135,392,0.9154479588714635,1.2212854962384974,385,0.49765328676423504,0.8989162324501904,397,0.7093969369883619,1.0625647266443135,392,0.9154479588714635,1.2212854962384974,385,1.2904598662050975,0.8420255905681723,4.299306784729417,0.6234413965087282,28,1.4244745146918976,1.328071363714276,1.2842954989573225,5.731082001749288,1.4244745146918976,0.8989162324501904,1.0625647266443135,1.2212854962384974,0.6628967068674754,0.5206691064656065,0.9973934248680403,0.4270297807844375,0.5514145123713292
AMCL+GPS,1.6049857348202146,1.4946315392800442,1.4782970406969778,6.139236301869641,0.47747492341101927,0.880088458786589,397,0.6648697268946104,1.0333664929922965,392,0.8353348171255074,1.1995165005507076,385,0.47747492341101927,0.880088458786589,397,0.6648697268946104,1.0333664929922965,392,0.8353348171255074,1.1995165005507076,385,1.3542573914254248,0.8716089846636269,4.2239100791392055,0.6159600997506235,27,1.6049857348202146,1.4946315392800442,1.4782970406969778,6.139236301869641,1.6049857348202146,0.880088458786589,1.0333664929922965,1.1995165005507076,0.6395186191123426,0.37375364215804285,0.6781567652666994,0.4016855060991523,0.4838971134640658
RTABMap RGBD,6.928970061773574,5.9249308139137895,5.474942538258044,19.13869976448117,1.1367699580379442,1.4644374775743563,373,2.232932162366579,2.6842239543714403,369,3.12667505448634,3.881984886745835,361,1.1367699580379442,1.4644374775743563,373,2.232932162366579,2.6842239543714403,369,3.12667505448634,3.881984886745835,361,5.834357972859172,5.513290797647063,19.034396244103515,0.3684210526315789,14,6.928970061773574,5.9249308139137895,5.474942538258044,19.13869976448117,6.928970061773574,1.4644374775743563,2.6842239543714403,3.881984886745835,0.6244832300696566,0.04020057798749961,0.04796636144052843,0.26692471955883484,0.21765644039460852
RTABMap RGB,6.885088115158021,5.899259129908797,5.47371279193798,19.286175487951294,1.140367317628545,1.4787161900513257,371,2.203952924599156,2.652769945818204,366,3.1785319093560678,3.9490958616523257,359,1.140367317628545,1.4787161900513257,371,2.203952924599156,2.652769945818204,366,3.1785319093560678,3.9490958616523257,359,5.807971149379011,5.560235627816765,19.09631332898004,0.3660477453580902,15,6.885088115158021,5.899259129908797,5.47371279193798,19.286175487951294,6.885088115158021,1.4787161900513257,2.652769945818204,3.9490958616523257,0.6265505214340161,0.03977222185003132,0.04720850519302743,0.26541095377697455,0.21679612720382224
ORB-SLAM3 RGBD (full),10.899392920905779,10.3951862311614,9.276544540607844,19.204762531898115,8.308379018764057,10.87048228034488,1461,10.065823045657405,11.740015857795878,1447,11.431204191483983,12.51624381207505,1447,8.308379018764057,10.87048228034488,1461,10.065823045657405,11.740015857795878,1447,11.431204191483983,12.51624381207505,1447,6.429304530266412,5.770757502815954,14.495461062779075,0.016700066800267203,5,10.899392920905779,10.3951862311614,9.276544540607844,19.204762531898115,10.899392920905779,10.87048228034488,11.740015857795878,12.51624381207505,2.618872015875231,113.98020501969533,5755.422787598049,25.13332662401408,1132.6276057345483
ORB-SLAM3 Mono (full),5.9556720078242495,5.242126974661177,6.094834561366852,8.815235144536437,1.865094191793504,1.9268949344086685,212,4.442941936537277,4.477336017013429,200,9.084548080306911,9.125660314218116,153,1.865094191793504,1.9268949344086685,212,4.442941936537277,4.477336017013429,200,9.084548080306911,9.125660314218116,153,1.3533971144491368,1.357096454094839,1.372126206004743,1.0,0,5.9556720078242495,5.242126974661177,6.094834561366852,8.815235144536437,5.9556720078242495,1.9268949344086685,4.477336017013429,9.125660314218116,0.34698345082951193,10.111734746542341,486.82053688512883,32.226937942963076,1561.5131326840135
