method,variant,spf_rmse,ngps_rmse
umeyama,,1.4119853160910814,1.2984815193731543
umeyama_noscale,,1.4119931188648707,1.2985472215813985
ransac_umeyama,,1.4487636505145267,1.3694657460384478
timeshift_umeyama,,1.4078173196553336,1.2914972349127147
