index,rgb_image,depth_image,lidar_csv,latitude,longitude,odom_pos_x,odom_pos_y,odom_pos_z,odom_orient_x,odom_orient_y,odom_orient_z,odom_orient_w,master_topic
1464,rgb/rgb_01464.png,depth/depth_01464.png,lidar/lidar_01464.csv,53.26801943048653,-0.5246021020380338,78.75606444069766,75.88763660983034,0.0,0.0,0.0,0.990783310921821,0.1354563796902678,/gps/filtered
1465,rgb/rgb_01465.png,depth/depth_01465.png,lidar/lidar_01465.csv,53.26801701385172,-0.5246016975832641,78.88061475116584,75.85336351154524,0.0,0.0,0.0,0.9908051099484826,0.13529683699176182,/gps/filtered
1466,rgb/rgb_01466.png,depth/depth_01466.png,lidar/lidar_01466.csv,53.268016487701445,-0.5246014441173488,79.03584477891273,75.80943726664742,0.0,0.0,0.0,0.9902909038987445,0.1390105235419522,/gps/filtered
1467,rgb/rgb_01467.png,depth/depth_01467.png,lidar/lidar_01467.csv,53.26801339257066,-0.52460008995428,79.41445279747427,75.70681849841125,0.0,0.0,0.0,0.9925444924615207,0.12188285557986589,/gps/filtered
1468,rgb/rgb_01468.png,depth/depth_01468.png,lidar/lidar_01468.csv,53.26801039420098,-0.5246002352606927,79.63532860458942,75.65391138223742,0.0,0.0,0.0,0.9936415781275857,0.11258958307108598,/gps/filtered
1469,rgb/rgb_01469.png,depth/depth_01469.png,lidar/lidar_01469.csv,53.2680099062865,-0.5246000650652216,79.63532860458942,75.65391138223742,0.0,0.0,0.0,0.9936415781275857,0.11258958307108598,/gps/filtered
1470,rgb/rgb_01470.png,depth/depth_01470.png,lidar/lidar_01470.csv,53.26800935353687,-0.5245998291103255,79.63532860458942,75.65391138223742,0.0,0.0,0.0,0.9936415781275857,0.11258958307108598,/gps/filtered
1471,rgb/rgb_01471.png,depth/depth_01471.png,lidar/lidar_01471.csv,53.26800885110694,-0.5245996162642061,79.63532860458942,75.65391138223742,0.0,0.0,0.0,0.9936415781275857,0.11258958307108598,/gps/filtered
1472,rgb/rgb_01472.png,depth/depth_01472.png,lidar/lidar_01472.csv,53.26800830689618,-0.5245995408649122,79.63532860458942,75.65391138223742,0.0,0.0,0.0,0.9936415781275857,0.11258958307108598,/gps/filtered
1473,rgb/rgb_01473.png,depth/depth_01473.png,lidar/lidar_01473.csv,53.26800774688653,-0.5245995281503619,79.63532860458942,75.65391138223742,0.0,0.0,0.0,0.9936415781275857,0.11258958307108598,/gps/filtered
1474,rgb/rgb_01474.png,depth/depth_01474.png,lidar/lidar_01474.csv,53.268007160044974,-0.5245995311508826,80.39326715439209,75.48994658836885,0.0,0.0,0.0,0.9950872341942251,0.09900200171555883,/gps/filtered
1475,rgb/rgb_01475.png,depth/depth_01475.png,lidar/lidar_01475.csv,53.26800662830982,-0.5245995703230588,80.39326715439209,75.48994658836885,0.0,0.0,0.0,0.9950872341942251,0.09900200171555883,/gps/filtered
