%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35
1756813270779944000,329,1756813270779944000,map,4.65510664748,12.4652510733,0.0,0.0,0.0,0.999316277338,0.0369726635066,1.39236696694,0.151421706644,0.0,0.0,0.0,0.0,0.151421706644,0.117194542873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022578302049
1756813271979810000,330,1756813271979810000,map,5.30775751286,12.1206825047,0.0,0.0,0.0,0.879260907153,0.476340484479,1.38402374368,0.13491482116,0.0,0.0,0.0,0.0,0.13491482116,0.154648419157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0309409151428
1756813272779590000,331,1756813272779590000,map,5.58204395251,11.6096489505,0.0,0.0,0.0,0.816375967507,0.577520804541,1.36195457133,0.151722091649,0.0,0.0,0.0,0.0,0.151722091649,0.167836047931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0322965270644
1756813273645824000,332,1756813273645824000,map,5.72465303767,11.0289005609,0.0,0.0,0.0,0.693420688505,0.720532961601,1.33560379212,0.181576860976,0.0,0.0,0.0,0.0,0.181576860976,0.181391471678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0341045101799
1756813274580114000,333,1756813274580114000,map,5.50326874159,10.5122934122,0.0,0.0,0.0,0.447239511357,0.894414232602,1.32859613975,0.196643557392,0.0,0.0,0.0,0.0,0.196643557392,0.165668803234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0346643960806
1756813275713090000,334,1756813275713090000,map,5.24057380027,10.0275263293,0.0,0.0,0.0,0.498214837946,0.867053617287,1.32358497453,0.212532993697,0.0,0.0,0.0,0.0,0.212532993697,0.149688467579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0373770698568
1756813276779536000,335,1756813276779536000,map,5.40354523364,9.51795407393,0.0,0.0,0.0,0.640286520532,0.768136167372,1.34878918343,0.21494989656,0.0,0.0,0.0,0.0,0.21494989656,0.133717037066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0785234545638
1756813277779884000,336,1756813277779884000,map,5.93828539859,8.96842849202,0.0,0.0,0.0,0.719159428066,0.6948451029,1.39332300744,0.179614855358,0.0,0.0,0.0,0.0,0.179614855358,0.105981819509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.107490972968
1756813278579955000,337,1756813278579955000,map,6.44424198832,8.51162008469,0.0,0.0,0.0,0.752582734214,0.65849770551,0.61050925917,0.0798678303678,0.0,0.0,0.0,0.0,0.0798678303678,0.0792828405645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0328341964562
1756813279380049000,338,1756813279380049000,map,6.48798355762,7.98632075551,0.0,0.0,0.0,0.721167541851,0.692760692145,0.247181834521,0.0371560578162,0.0,0.0,0.0,0.0,0.0371560578161,0.0659121866234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00763640600196
