variant,n_runs,runtime_sec_mean,runtime_sec_std,ape_raw_rmse_mean,ape_raw_rmse_std,ape_raw_rmse_median,ape_align_rmse_mean,ape_align_rmse_std,ape_align_rmse_median,rpe_2m_align_rmse_mean,rpe_2m_align_rmse_std,rpe_2m_align_rmse_median,rpe_5m_align_rmse_mean,rpe_5m_align_rmse_std,rpe_5m_align_rmse_median,rpe_10m_align_rmse_mean,rpe_10m_align_rmse_std,rpe_10m_align_rmse_median,cross_track_mean_mean,cross_track_mean_std,cross_track_mean_median,row_correct_fraction_mean,row_correct_fraction_std,row_correct_fraction_median,row_switch_events_mean,row_switch_events_std,row_switch_events_median,speed_mean_mean,speed_mean_std,speed_mean_median,accel_rms_mean,accel_rms_std,accel_rms_median,jerk_rms_mean,jerk_rms_std,jerk_rms_median,heading_rate_rms_mean,heading_rate_rms_std,heading_rate_rms_median,heading_accel_rms_mean,heading_accel_rms_std,heading_accel_rms_median,primary_score_mean,delta_vs_full_ape_raw_rmse,delta_vs_full_ape_align_rmse,delta_vs_full_rpe_2m_align_rmse,delta_vs_full_rpe_5m_align_rmse,delta_vs_full_rpe_10m_align_rmse,delta_vs_full_cross_track_mean,delta_vs_full_row_correct_fraction,delta_vs_full_row_switch_events,delta_vs_full_speed_mean,delta_vs_full_accel_rms,delta_vs_full_jerk_rms,delta_vs_full_heading_rate_rms,delta_vs_full_heading_accel_rms,delta_vs_full_primary_score,rank_primary_score,rank_ape_raw_rmse,rank_ape_align_rmse,rank_rpe_2m_align_rmse,rank_rpe_5m_align_rmse,rank_rpe_10m_align_rmse,rank_cross_track_mean,rank_row_correct_fraction,rank_row_switch_events,rank_speed_mean,rank_accel_rms,rank_jerk_rms,rank_heading_rate_rms,rank_heading_accel_rms
non_wall_points,3,36.05909331639608,0.06950999947009445,0.9788788862656904,0.07971813058804293,0.9243353175199367,0.9549298176217693,0.06916598182696156,0.9178354329823548,3.3353527836224424,0.07298629093253692,3.3550728331290114,6.914128490708753,0.05567528485345127,6.941462118427992,12.105857272677648,0.3515315584588918,11.97260947899824,1.30163936834306,0.02788388743968805,1.2844570687034371,0.7017543859649122,0.03418090650873645,0.6942355889724311,32.666666666666664,2.494438257849294,32.0,0.17274864432783252,0.00221538577886268,0.17421340143368394,0.03182930655436941,0.000338482933748181,0.03206765636806488,0.01296071805462277,0.0001329395359420081,0.01304316386329326,0.13650059262671047,0.003864252866448023,0.13852366574535066,0.0489866079301001,0.0013614009591028258,0.04886043742476403,9.095901132182346,-0.09523423361385841,-0.08548677809449923,0.0015368022229926837,-0.0032401121041756298,-0.18294552019646737,0.03871055356335562,-0.03007518796992492,-2.0,-0.0005069363966029306,-0.0001706702037669039,-4.076845876234414e-05,0.004743503737256932,0.0038227199784554716,-0.09103550552293171,1,1,1,7,6,7,4,4,3,1,2,2,4,4
static_gps_weight,3,36.12592728932699,0.12962129352918453,1.1557555719903163,0.12035004868409926,1.136189900193595,1.127248934417626,0.11399990399447707,1.1190060553786363,3.3803712809009663,0.0622679286142621,3.3967074886777535,6.940003976480831,0.1741317695572915,7.0168586823531305,12.066175329738703,0.38487278835367567,12.145825224377608,1.2609926412439396,0.03972113503502412,1.2876799827123298,0.7435254803675856,0.025586287102946643,0.7443609022556391,31.333333333333332,1.699673171197595,32.0,0.17330906143199476,0.001480918273676347,0.1726968675969818,0.03208617811701375,0.00024862963453846696,0.03211304271841201,0.01303955746563623,8.238220891813831e-05,0.013060546771219822,0.1260052610690669,0.005042723967264441,0.12333214750970503,0.043452828448845626,0.0029317716596477476,0.0417949321079196,9.121209189249855,0.08164245211076748,0.08683233870135743,0.0465552995015166,0.022635373667903025,-0.22262746313541193,-0.0019361735357648069,0.011695906432748426,-3.333333333333332,5.3480707559311336e-05,8.620135887743574e-05,3.8070952251115925e-05,-0.005751827820386635,-0.0017110595027990047,-0.06572744845542289,2,4,4,8,8,5,2,1,2,3,5,5,1,1
no_pose_smoothing,3,36.20548184712728,0.06670316998175535,1.1138723424889325,0.012916871781128268,1.1150830469660697,1.0790083195389701,0.0034198721038602897,1.0805783641983122,3.1899294966843854,0.03209710242793673,3.209628699351192,6.553730590821536,0.09097645072326631,6.52982960915791,11.596771157493224,0.37854028063486916,11.74636134318852,1.2351426130141414,0.0024750005310326755,1.2364232691174264,0.711779448621554,0.01063318467949698,0.7192982456140351,40.666666666666664,0.4714045207910317,41.0,0.18286577202382837,0.00035286246961443833,0.18309833313467086,0.034409725511686313,0.0011200641852909953,0.03376113149276817,0.014191841263454597,0.0006291798989771242,0.013930396490461686,0.21180108969405373,0.0058915566902385625,0.20919479736240923,0.08325292685548295,0.004656485815143449,0.0802722742705862,9.137036672206714,0.03975922260938369,0.038591723822701596,-0.14388648471506427,-0.3636380119913918,-0.6920316353808911,-0.027786201765563012,-0.020050125313283207,6.0,0.009610191299392917,0.0024097487535499965,0.0011903547500694833,0.0800440008046002,0.03808903890383832,-0.04989996549856457,3,3,3,1,1,2,1,3,8,8,8,8,8,8
full,3,36.13080461819967,0.1393444205188554,1.0741131198795488,0.09216060261164283,1.085554225865352,1.0404165957162685,0.09818705911792151,1.07060217032416,3.3338159813994497,0.06944973183263,3.3737815503545594,6.917368602812928,0.09088571520704433,6.9776656532515355,12.288802792874115,0.18145301484859988,12.207175139298807,1.2629288147797044,0.05552013612121821,1.251864823019632,0.7318295739348372,0.01023178672841762,0.731829573934837,34.666666666666664,1.699673171197595,34.0,0.17325558072443545,0.0006213779509984299,0.17365638877665712,0.03199997675813632,0.00043305862829333815,0.032257606430851175,0.013001486513385114,0.00012386124422738749,0.013062426276880913,0.13175708888945353,0.010363402331554812,0.130648199699741,0.04516388795164463,0.0029748139157619456,0.043625084104034144,9.186936637705278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,2,6,7,8,3,2,6,2,4,4,2,3
no_background,3,35.28857056299845,0.0787980827553708,1.4363451366690292,0.5344452072684792,1.138667959213227,1.3069668728860193,0.41793421185904744,1.0416968149748833,3.295819845711994,0.0465462285492196,3.308890362187077,6.628976361811323,0.11239948559099006,6.61756136896636,11.993540404605412,0.1778367136580204,12.101759642098894,1.4331398017614785,0.06256035420134855,1.3920934657020951,0.6708437761069339,0.029394506408954336,0.656641604010025,33.666666666666664,1.247219128924647,34.0,0.18223122131223457,0.000974921971013855,0.18181396066146022,0.03218554654878166,0.0003373441200045093,0.03204241426745877,0.013055027590450569,8.417654220461676e-05,0.013023884941249576,0.17015609849397104,0.013098452734544018,0.16951364477194103,0.06300250891139926,0.007178539669807131,0.06515739973236405,9.517627451597239,0.36223201678948036,0.26655027716975077,-0.037996135687455634,-0.2883922410016053,-0.29526238826870355,0.17021098698177406,-0.060985797827903254,-1.0,0.008975640587799122,0.00018556979064534435,5.354107706545541e-05,0.0383990096045175,0.01783862095975463,0.33069081389196064,5,6,5,4,2,4,5,6,5,7,6,6,7,7
no_corridor,3,35.706164042154946,0.07287135943692201,1.368343693816856,0.12190036716895772,1.3044554351822182,1.3365135452448424,0.12452987099588333,1.2496371508067141,3.2831070606338995,0.027401040211842097,3.2739859995364666,6.807280607595601,0.13114868237277028,6.806272390400413,11.84397686330368,0.3547079330675039,11.762932879744904,1.4415984884097341,0.0223418593548706,1.4259202163185802,0.6700083542188805,0.018903439430216808,0.656641604010025,35.333333333333336,2.0548046676563256,35.0,0.18016770554913966,0.002626824876032008,0.18155016264283788,0.03180089340232115,0.0005324297575482318,0.03158744835396585,0.012815884113230166,0.0002588782457756042,0.012813038903189659,0.15401720747442263,0.009696556558903401,0.16058468426903072,0.055136566412489006,0.0038634919258132474,0.057117276950526166,9.633894291908636,0.2942305739373072,0.2960969495285739,-0.050708920765550225,-0.11008799521732726,-0.44482592957043465,0.17866967363002972,-0.061821219715956666,0.6666666666666714,0.006912124824704213,-0.00019908335581516473,-0.00018560240015494736,0.022260118584969096,0.009972678460844375,0.44695765420335754,6,5,6,3,4,3,6,7,7,6,1,1,6,6
no_semantic,3,34.90243315696716,0.1295996065080481,1.6382479047638618,0.6425444554464816,1.512144842779129,1.4392021866306857,0.48471049693918083,1.3103142711930056,3.3136648450264476,0.11400348164724437,3.3257868110201976,6.906011196453814,0.005474490874001697,6.9030895582076335,12.072958310545927,0.18078900857283356,11.98888542789332,1.498816097295314,0.19954683041305832,1.5118976525113674,0.672514619883041,0.02100218060146455,0.6791979949874687,33.0,0.0,33.0,0.17368895008176655,0.0024184356469518337,0.17422465534403864,0.03193416191908858,0.0004666741102505224,0.03216591385282054,0.01298563445244255,0.00018114644301280014,0.013022445292440087,0.14697989798939223,0.0032771367554324245,0.14890481002778397,0.0525224017300193,0.0012640920508200984,0.05253672035849115,9.793353108701144,0.564134784884313,0.3987855909144171,-0.020151136373002032,-0.011357406359114641,-0.21584448232818865,0.23588728251560953,-0.05931495405179621,-1.6666666666666643,0.00043336935733109816,-6.581483904773838e-05,-1.5852060942563723e-05,0.0152228090999387,0.007358513778374667,0.6064164709958657,7,7,7,5,5,6,7,5,4,4,3,3,5,5
no_gps,3,35.579334020614624,0.1268180867481005,7.553607845043799,4.87320443394661,4.324736325278425,4.278156958766974,1.0260024370772134,3.697833670485536,3.2614776737421547,0.10871714213127354,3.3360175238507006,6.647435897778602,0.32362560339175916,6.834693066447393,11.4978538847221,0.7998852896318459,11.71992120937828,3.1778673849816497,0.8402924405918945,2.694637186712665,0.3241436925647452,0.08430727359427144,0.2857142857142857,20.0,5.0990195135927845,22.0,0.17456259856991607,0.0033730138591048227,0.17363425785279346,0.03282953541169256,0.0005418398563707267,0.03306000489735799,0.013237952953319134,0.0001290595324369859,0.013319941714247148,0.132039291756843,0.017357614197900738,0.12410436832708413,0.0447141400856039,0.007175312411566282,0.041107699920988394,14.064870366736614,6.47949472516425,3.2377403630507056,-0.07233830765729499,-0.26993270503432587,-0.790948908152016,1.9149385702019452,-0.407685881370092,-14.666666666666664,0.0013070178454806236,0.0008295586535562449,0.00023646643993402092,0.000282202867389475,-0.0004497478660407325,4.877933729031335,8,8,8,2,3,1,8,8,1,5,7,7,3,2
