metric,mean,stddev
ape_raw_rmse,61.333285084359,0.279448742097
ape_umey_rmse,10.024694553871,0.029063272482
ape_umey_scale_rmse,5.007230129659,0.024936004541
rpe_2m_rmse,8.252112292713,0.083857052580
rpe_5m_rmse,10.786704031995,0.108460933149
rpe_10m_rmse,13.998809966248,0.020745910111
cross_track_mean,6.779891903128,0.012040995119
cross_track_median,6.129764012068,0.005979350194
cross_track_max,46.099050753182,0.005317067876
row_correct_fraction,0.476342531904,0.002537987448
row_switch_events,13.333333333333,0.471404520791
