run,seed,poses_used,fused_tum,noisy_gps_tum,ape_raw_rmse,ape_align_rmse,rpe_2m_align_rmse,rpe_5m_align_rmse,rpe_10m_align_rmse,ape_align_mean,ape_align_median,ape_align_max,cross_track_mean,row_correct_fraction,row_switch_events
rtab_ngps_s11,11,380,/home/pulver/projects/Outdoor_SLPF/results/rtabmap/rgbd_ngps_3runs_metrics/fused_tum/rtab_ngps_s11.tum,/home/pulver/projects/Outdoor_SLPF/results/noisy_gps/noisy_gps_seed_11.tum,61.624864964913044,6.142576520986908,3.4420417429964387,7.934613251552594,4.762596730278446,5.344066922036176,4.964867394702721,18.150823413112306,5.267216215457861,0.39473684210526316,17.0
rtab_ngps_s22,22,380,/home/pulver/projects/Outdoor_SLPF/results/rtabmap/rgbd_ngps_3runs_metrics/fused_tum/rtab_ngps_s22.tum,/home/pulver/projects/Outdoor_SLPF/results/noisy_gps/noisy_gps_seed_22.tum,61.62921091870529,6.105920288672131,3.47649479783976,7.965116933855721,4.799424000578195,5.3059032054704005,4.939291620225886,18.029937070442895,5.226387123521294,0.3973684210526316,17.0
rtab_ngps_s33,33,380,/home/pulver/projects/Outdoor_SLPF/results/rtabmap/rgbd_ngps_3runs_metrics/fused_tum/rtab_ngps_s33.tum,/home/pulver/projects/Outdoor_SLPF/results/noisy_gps/noisy_gps_seed_33.tum,61.64213306759009,6.141922751268974,3.429609588993579,7.934193660658756,4.7916750436719555,5.340791115605384,4.934152380031344,18.185800382939387,5.2563158138032815,0.4026315789473684,15.0
