variant,n_runs,ape_align_rmse_mean,ape_align_rmse_std,row_correct_fraction_mean,row_correct_fraction_std,delta_ape_align_vs_baseline,delta_row_correct_vs_baseline
full_map,3,0.9962444225939638,0.027585631269871257,0.7243107769423558,0.01818842193573702,0.0,0.0
drop_20pct,3,1.021191171488863,0.0816547110525706,0.7326649958228906,0.007747383872594589,0.02494674889489923,0.00835421888053478
drop_40pct,3,1.0485826998029986,0.09013445701436618,0.7351712614870509,0.027250637310442923,0.05233827720903472,0.010860484544695126
