variant,seed,remove_rate,n_removed,n_in_section,section_frames,section_ape_mean,section_ape_peak,post_ape_mean,baseline_post_ape_mean,post_to_section_ratio,recovery_threshold_ape,recovered_flag,recovery_frames,recovery_distance_m
remove_30pct,11,0.3,14,48,93,0.8250044599750708,2.07876609147603,0.7817296411045805,0.8850757565646695,0.9475459576645223,1.0178371200493699,1,9.0,5.140370705306367
remove_30pct,22,0.3,14,48,93,0.7061271698855,1.6005373873926738,0.8836096156288079,0.787207362329613,1.2513462918755656,0.9052884666790548,1,24.0,15.685270406286008
remove_30pct,33,0.3,14,48,93,0.7014826694203457,1.4825961964820622,0.8066809015902656,0.9108184248774975,1.149965546913437,1.0474411886091222,1,23.0,14.94576354421676
remove_50pct,11,0.5,24,48,93,1.290297361385978,2.9577716133866483,0.8779752990753165,0.8850757565646695,0.6804441560139561,1.0178371200493699,1,10.0,5.480411471358138
remove_50pct,22,0.5,24,48,93,1.0158359063271019,3.0182762498884235,0.9399663084547611,0.787207362329613,0.9253131363049983,0.9052884666790548,1,23.0,14.94576354421676
remove_50pct,33,0.5,24,48,93,0.8948343161584693,2.0086636385775085,0.7897527893004379,0.9108184248774975,0.882568733719168,1.0474411886091222,1,23.0,14.94576354421676
