frame_idx,gps_dist,log_gps,log_semantic,log_corridor,corridor_dist,corridor_heading_misalign,correct_hits,incorrect_hits,no_hits,weight,gps_weight_used,corridor_weight_used,num_background_used,num_observations,semantic_model_used,semantic_classes_mode,gps_enabled,semantic_enabled,corridor_enabled,background_enabled,dynamic_gps_enabled,pose_smoothing_enabled,detection_drop_rate,detections_raw,detections_kept,detections_dropped
0,2.41797137260437,-2.4159443378448486,-333.08172607421875,-0.07541809976100922,0.569431483745575,0.02870023250579834,70,0,56,0.048443786799907684,0.5434782608695653,0.3,120,126,wall,both,1,1,1,1,1,1,0.2,4,3,1
4,0.32868748903274536,-0.04464275389909744,-474.78271484375,-0.6090630292892456,1.338383674621582,0.2273668646812439,44,0,81,0.00821981392800808,0.5454545454545454,0.3,120,125,wall,both,1,1,1,1,1,1,0.2,3,2,1
8,1.0443425178527832,-0.45068231225013733,-618.0375366210938,-1.111470341682434,2.134784698486328,0.1555321216583252,32,0,93,0.007241738028824329,0.5454545454545454,0.3,120,125,wall,both,1,1,1,1,1,1,0.2,3,2,1
12,0.5843157768249512,-0.1410846710205078,-490.2492980957031,-0.5579219460487366,1.2751034498214722,0.21947723627090454,47,0,82,0.02079150266945362,0.5376344086021506,0.3,120,129,wall,both,1,1,1,1,1,1,0.2,4,4,0
16,1.6213998794555664,-1.086337685585022,-482.3790588378906,-0.4510459303855896,1.424675703048706,0.0005678534507751465,58,0,68,0.022799696773290634,0.5434782608695653,0.3,120,126,wall,both,1,1,1,1,1,1,0.2,4,3,1
20,2.1024625301361084,-1.8265902996063232,-365.8968200683594,-0.09097518026828766,0.6347486972808838,0.01878643035888672,61,0,64,0.06397399306297302,0.5454545454545454,0.3,120,125,wall,both,1,1,1,1,1,1,0.2,2,1,1
24,3.512108087539673,-5.097066879272461,-551.9834594726562,-0.12491671741008759,0.538827121257782,0.12164491415023804,40,0,84,0.030299507081508636,0.5474452554744526,0.3,120,124,wall,both,1,1,1,1,1,1,0.2,6,6,0
28,0.6326951384544373,-0.16541451215744019,-582.0859375,-0.15137644112110138,0.6837806105613708,0.10784900188446045,37,0,88,0.016726503148674965,0.5454545454545454,0.3,120,125,wall,both,1,1,1,1,1,1,0.2,4,4,0
32,3.647428274154663,-5.497409820556641,-588.9698486328125,-0.08625482022762299,0.5532139539718628,0.06685763597488403,43,0,84,0.019206028431653976,0.5415162454873647,0.3,120,127,wall,both,1,1,1,1,1,1,0.2,4,4,0
36,2.325965642929077,-2.2355849742889404,-691.3715209960938,-0.04507482796907425,0.44965997338294983,0.0059149861335754395,48,12,100,0.061639271676540375,0.48387096774193555,0.3,120,160,wall,both,1,1,1,1,1,1,0.2,4,2,2
40,1.3327864408493042,-0.7340163588523865,-342.9966125488281,-0.10374806821346283,0.6832731366157532,0.00047332048416137695,63,0,60,0.05627692490816116,0.5494505494505495,0.3,120,123,wall,both,1,1,1,1,1,1,0.2,5,4,1
44,3.01912260055542,-3.7665703296661377,-267.2809753417969,-0.12418507039546967,0.7474192380905151,0.0032771825790405273,83,0,48,0.06219438835978508,0.5338078291814947,0.3,120,131,wall,both,1,1,1,1,1,1,0.2,4,2,2
48,3.7609333992004395,-5.844883918762207,-439.3215026855469,-0.098243847489357,0.66490238904953,0.0003383159637451172,51,0,79,0.02792566828429699,0.5357142857142857,0.3,120,130,wall,both,1,1,1,1,1,1,0.2,3,3,0
