frame_idx,processed_idx,frame_total_sec,frame_hz,io_sec,semantic_inference_sec,lidar_association_sec,motion_update_sec,measurement_update_sec,pose_post_sec,resample_sec,visualization_sec,stats_write_sec,other_sec
80,20,0.0702151779551059,14.2419349935904,0.02236829895991832,0.041825694032013416,0.00022463698405772448,9.558792226016521e-05,0.0043340950505808,0.00011964200530201197,0.0008498670067638159,0.0,0.00014854595065116882,0.00024881004355847836
84,21,0.07325998891610652,13.650015715196835,0.022004393045790493,0.04502427007537335,0.0002205700147897005,8.572894148528576e-05,0.004294190090149641,0.00012354005593806505,0.0010899530025199056,0.0,0.00015173200517892838,0.0002656116848811507
88,22,0.07344560499768704,13.615518587279555,0.021901211002841592,0.04512542800512165,0.00023414497263729572,0.00010251998901367188,0.004664837964810431,0.0001259238924831152,0.000902976025827229,0.0,0.00014766398817300797,0.00024089915677905083
92,23,0.08135511504951864,12.291790127656107,0.021941426093690097,0.05322379001881927,0.0002166619524359703,9.44359926506877e-05,0.004337401012890041,0.0001259329728782177,0.0010360629530623555,0.0,0.00014715304132550955,0.00023225101176649332
96,24,0.07892962300684303,12.66951445990439,0.021932368981651962,0.05010106402914971,0.00022546900436282158,8.969695772975683e-05,0.0046078229788690805,0.00012861902359873056,0.0014366769464686513,0.0,0.0001494780881330371,0.0002584269968792796
100,25,0.08857741998508573,11.28955889851359,0.022683313000015914,0.057325333007611334,0.0002545920433476567,9.455508552491665e-05,0.0056718880077824,0.0001363130286335945,0.0019958639750257134,0.0,0.00014775502495467663,0.0002678068121895194
104,26,0.07403781299944967,13.506611817497001,0.02327312796842307,0.04128847690299153,0.00025425199419260025,0.00010345201008021832,0.006423122016713023,0.0001255630049854517,0.0021599188912659883,0.0,0.00015447696205228567,0.00025542324874550104
108,27,0.08406667807139456,11.895319559918127,0.022054465021938086,0.052068196004256606,0.000294546945951879,0.00011026510037481785,0.006822684081271291,0.0001359429443255067,0.00216728204395622,0.0,0.00014589098282158375,0.0002674049464985728
112,28,0.07560262805782259,13.227053419825268,0.02476269192993641,0.04098175698891282,0.0002061129780486226,0.00010660791303962469,0.006702441023662686,0.00017982395365834236,0.002258791937492788,0.0,0.00015554903075098991,0.00024885230232030153
116,29,0.07310321892146021,13.679288200350909,0.022558099939487875,0.04107199504505843,0.00022577005438506603,0.00010451395064592361,0.00646673294249922,0.0001304219476878643,0.002143198042176664,0.0,0.00015685195103287697,0.00024563504848629236
120,30,0.07736387697514147,12.925929246298239,0.022114047082141042,0.04595614003483206,0.0001935589825734496,0.00010514503810554743,0.006294533959589899,0.00013156398199498653,0.0021582760382443666,0.0,0.00014837493654340506,0.0002622369211167097
124,31,0.08126866398379207,12.304865749970203,0.02181882900185883,0.049913365044631064,0.00026791798882186413,0.00011104601435363293,0.0070052630035206676,0.00018606497906148434,0.0015425829915329814,0.0,0.0001543660182505846,0.00026922894176095724
128,32,0.06605584803037345,15.138705047586177,0.0219414159655571,0.036566492985002697,0.00022268400061875582,9.863299783319235e-05,0.0055678439093753695,0.0001400390174239874,0.0011215120321139693,0.0,0.0001456600148230791,0.00025156710762530565
132,33,0.08733372308779508,11.450330578426358,0.022081926930695772,0.05835244990885258,0.0002395639894530177,9.019696153700352e-05,0.004657314042560756,0.00012787804007530212,0.0013980850344523787,0.0,0.00014428794384002686,0.0002420202363282442
136,34,0.08395345800090581,11.911361649798994,0.022028416977263987,0.05372306704521179,0.00025824899785220623,9.958504233509302e-05,0.005577762960456312,0.0001398090971633792,0.0017032410250976682,0.0,0.00014161306899040937,0.00028171378653496504
140,35,0.07970914000179619,12.545612711132822,0.02294728299602866,0.048046970972791314,0.00030741095542907715,0.0001342790201306343,0.006221237941645086,0.00013866694644093513,0.0014909169403836131,0.0,0.00013853691052645445,0.00028383731842041016
144,36,0.08339493197854608,11.991136346957592,0.022426325944252312,0.05332001799251884,0.000245266011916101,9.797199163585901e-05,0.005852933973073959,0.00015264295507222414,0.0008926360169425607,0.0,0.00014410691801458597,0.00026303017511963844
148,37,0.08742332900874317,11.438594381369194,0.025031069992110133,0.05627674702554941,0.000241377972997725,9.19499434530735e-05,0.00437274610158056,0.0001238799886777997,0.0008752149296924472,0.0,0.00014162296429276466,0.0002687200903892517
152,38,0.08057904499582946,12.410174382828155,0.023280952009372413,0.05080658302176744,0.0002665140200406313,9.266205597668886e-05,0.004707146901637316,0.00015767302829772234,0.0008587639313191175,0.0,0.00014893605839461088,0.0002598139690235257
156,39,0.07666824595071375,13.043209579137246,0.022755456971935928,0.0481952860718593,0.00019506202079355717,8.764304220676422e-05,0.004115949966944754,0.00011484301649034023,0.0008080300176516175,0.0,0.0001443879446014762,0.00025158689823001623
160,40,0.07300810201559216,13.697109942488746,0.02550279605202377,0.041571161011233926,0.0002206499921157956,8.749193511903286e-05,0.0042468830943107605,0.00012070394586771727,0.0008189500076696277,0.0,0.00016167003195732832,0.0002777959452942014
