method,n_runs,runtime_sec_mean,runtime_sec_std,ape_raw_rmse_mean,ape_raw_rmse_std,ape_raw_rmse_median,ape_align_rmse_mean,ape_align_rmse_std,ape_align_rmse_median,rpe_2m_align_rmse_mean,rpe_2m_align_rmse_std,rpe_2m_align_rmse_median,rpe_5m_align_rmse_mean,rpe_5m_align_rmse_std,rpe_5m_align_rmse_median,rpe_10m_align_rmse_mean,rpe_10m_align_rmse_std,rpe_10m_align_rmse_median,cross_track_mean_mean,cross_track_mean_std,cross_track_mean_median,row_correct_fraction_mean,row_correct_fraction_std,row_correct_fraction_median,row_switch_events_mean,row_switch_events_std,row_switch_events_median,speed_mean_mean,speed_mean_std,speed_mean_median,accel_rms_mean,accel_rms_std,accel_rms_median,jerk_rms_mean,jerk_rms_std,jerk_rms_median,heading_rate_rms_mean,heading_rate_rms_std,heading_rate_rms_median,heading_accel_rms_mean,heading_accel_rms_std,heading_accel_rms_median
AMCL+NGPS,3,0.0,0.0,1.8860548133585089,0.040848477647525507,1.8974498145299705,1.4608613240456856,0.0001978327227427949,1.4608075410086612,4.6591899454723205,6.9080564338028725e-09,4.659189947902906,5.404951490631247,4.0311951884711364e-14,5.404951490631267,1.3756312693330903,1.2190902658261208e-14,1.3756312693330977,1.3542744919305265,1.0794503693962423e-05,1.354266950759542,0.6159600997506235,0.0,0.6159600997506235,27.0,0.0,27.0,0.6395194185202396,5.929760710875883e-07,0.6395194146195924,0.3737536388276889,3.9165842246664095e-09,0.3737536364125557,0.6781567671970041,1.2317155304177522e-09,0.6781567663343961,0.40168550471489667,2.700285750527741e-07,0.40168551523230367,0.48389712251476213,3.734653725994984e-08,0.48389713356330477
amcl,3,0.0,0.0,1.9617348073402303,0.0,1.9617348073402303,1.3002828158830904,0.0,1.3002828158830904,4.755173217057186,0.0,4.755173217057186,5.5174434903395335,0.0,5.5174434903395335,1.5986632873593132,0.0,1.5986632873593132,1.2904598662050975,0.0,1.2904598662050975,0.6234413965087282,0.0,0.6234413965087282,28.0,0.0,28.0,0.6628967068674754,0.0,0.6628967068674754,0.5206691064656065,0.0,0.5206691064656065,0.9973934248680404,1.1102230246251565e-16,0.9973934248680403,0.4270297807844375,0.0,0.4270297807844375,0.5514145123713292,0.0,0.5514145123713292
ngps,3,0.15970222155253092,0.020946150928469996,3.035507038885297,0.12945272123860482,3.072534226228402,2.9781029363430656,0.12714581589738777,3.0216533312888565,3.56333387458538,0.29227592520659185,3.391938650686634,3.9882376186377257,0.4345115719245598,3.779895931242888,4.103136887325271,0.5280319781503523,3.933433470773972,1.7707528888489528,0.11537909980332098,1.779339911048431,0.6441102756892231,0.04272919583139322,0.6190476190476191,64.33333333333333,5.436502143433363,61.0,0.5050738448545559,0.023918992645997974,0.49621520619253007,0.10042636542478627,0.010568963982588173,0.0949738972718328,0.04139995241884905,0.0030030908055482825,0.04038154234665295,0.5207218577432045,0.00755526694132499,0.5253665215663724,0.1807554002753878,0.0008821364244387949,0.18056868828767422
rtab_rgb,3,0.0,0.0,63.059592963932886,0.0,63.059592963932886,6.761443559619296,0.0,6.761443559619296,1.1955097084696604,0.0,1.1955097084696604,2.352360680217733,0.0,2.352360680217733,4.569660372165993,0.0,4.569660372165993,5.807971149379011,0.0,5.807971149379011,0.3660477453580902,0.0,0.3660477453580902,15.0,0.0,15.0,0.6265505214340161,0.0,0.6265505214340161,0.03977222185003132,0.0,0.03977222185003132,0.04720850519302743,0.0,0.04720850519302743,0.26541095377697455,0.0,0.26541095377697455,0.21679612720382224,0.0,0.21679612720382224
rtab_rgbd,3,0.0,0.0,63.96629817407574,0.0,63.96629817407574,6.81010318316702,0.0,6.81010318316702,4.058284966733027,0.0,4.058284966733027,8.2547778219374,0.0,8.2547778219374,4.808407076715303,0.0,4.808407076715303,5.834357972859171,8.881784197001252e-16,5.834357972859172,0.3684210526315789,0.0,0.3684210526315789,14.0,0.0,14.0,0.6244832300696566,0.0,0.6244832300696566,0.04020057798749961,0.0,0.04020057798749961,0.04796636144052843,0.0,0.04796636144052843,0.26692471955883484,0.0,0.26692471955883484,0.21765644039460852,0.0,0.21765644039460852
slpf,3,37.05630087852478,0.5831357611779178,1.1383675375824212,0.06976093931855615,1.1690622805748068,1.0931105527686293,0.0679825023650165,1.12414440771474,3.3581154755503615,0.09607232875558197,3.3096015300022636,7.065793141651806,0.07541500086031265,7.050236592246176,12.317562309813352,0.15545985646313115,12.281900620711902,1.2316711094836028,0.04376446659246761,1.2506607014284556,0.7259816207184628,0.026312474098619247,0.7393483709273183,31.666666666666668,2.0548046676563256,32.0,0.1721745542935119,0.0003824992137848394,0.17241928747838672,0.031858970222900046,0.00037207168087248765,0.031957268586855526,0.012960802525400718,0.00010987101145944756,0.012963066167078865,0.13970713770061052,0.0018047249156282067,0.13955336364402296,0.05023930628026413,0.0010859590904540844,0.050562033949007205
spf,3,29.632385810216267,0.20054803786615125,1.5089590730418918,0.17244582820824209,1.3964790202023072,1.417528820331696,0.17957012339581735,1.2928414114831177,3.327116415842422,0.03251434858778545,3.3363174290910167,6.765941422120601,0.1620322342326607,6.694023490638144,11.624539048931851,0.3850353667092722,11.842791781429103,1.4059792093547412,0.04769035064800235,1.3922100194146216,0.6603970741901776,0.03159083899233221,0.670846394984326,34.666666666666664,2.0548046676563256,35.0,0.18606331230429463,0.004531879833639661,0.18387403996006538,0.025886840745471536,0.0010753603368600388,0.026182902935891206,0.00853665976487805,0.000303310486995195,0.008738116508943499,0.17033960265341697,0.00589152359506272,0.17109926068853126,0.0525894718239757,0.0007641233768247609,0.05210274234114842
