run_name,est_tum,eval_est_tum,gt_tum,start_pose_anchor,ape_raw_rmse,ape_align_rmse,rpe_2m_align_rmse,rpe_5m_align_rmse,rpe_10m_align_rmse,cross_track_mean,cross_track_median,cross_track_max,row_correct_fraction,row_switch_events,wrong_row_duration_sec,wrong_row_distance_m,max_wrong_row_duration_sec,max_wrong_row_distance_m,mean_recovery_distance_m,failure_rate,xt_below_0p25_fraction,xt_below_0p5_fraction,xt_below_1p0_fraction,headland_cross_track_mean,headland_cross_track_median,headland_cross_track_max,headland_row_correct_fraction,headland_row_switch_events,headland_wrong_row_duration_sec,headland_wrong_row_distance_m,headland_max_wrong_row_duration_sec,headland_max_wrong_row_distance_m,headland_mean_recovery_distance_m,headland_failure_rate,headland_xt_below_0p25_fraction,headland_xt_below_0p5_fraction,headland_xt_below_1p0_fraction,inrow_cross_track_mean,inrow_cross_track_median,inrow_cross_track_max,inrow_row_correct_fraction,inrow_row_switch_events,inrow_wrong_row_duration_sec,inrow_wrong_row_distance_m,inrow_max_wrong_row_duration_sec,inrow_max_wrong_row_distance_m,inrow_mean_recovery_distance_m,inrow_failure_rate,inrow_xt_below_0p25_fraction,inrow_xt_below_0p5_fraction,inrow_xt_below_1p0_fraction,speed_mean,accel_rms,jerk_rms,heading_rate_rms,heading_accel_rms,method,method_key,traversal,seed,runtime_sec
exp1_rtab_rgb_ngps_seed_11,/home/pulver/projects/vineyard_pf/Outdoor_SLPF_iros_revision_plan/results/iros_revision/rtab_ngps_main_table/exp1/rtab_rgb/seed_11/trajectory_0.5.tum,/home/pulver/projects/vineyard_pf/Outdoor_SLPF_iros_revision_plan/results/iros_revision/rtab_ngps_main_table/exp1/rtab_rgb/seed_11/trajectory_0.5.tum,/home/pulver/projects/vineyard_pf/Outdoor_SLPF_iros_revision_plan/results/iros_revision/rtab_ngps_main_table/exp1/rtab_rgb/seed_11/gps_pose.tum,0,37.757244177449785,6.27937541396958,1.1974962295825529,2.3013772109115402,4.681323037264786,5.350218782376554,5.0387185178203815,18.043866090410933,0.376657824933687,17.0,259.529723405838,159.1833125763538,74.87306785583496,46.16021252744548,9.363724269197283,0.623342175066313,0.015915119363395226,0.03183023872679045,0.08222811671087533,5.2990687339444875,4.582268978642966,18.043866090410933,0.37244897959183676,10.0,137.57824611663818,83.91450481016065,37.48664879798889,23.571031455878256,8.391450481016065,0.6275510204081632,0.015306122448979591,0.04081632653061224,0.08673469387755102,5.40560778509857,5.91128567162442,14.841515869641524,0.3812154696132597,11.0,121.95147728919983,75.26880776619318,46.12046432495117,28.286050474445307,6.8426188878357435,0.6187845303867403,0.016574585635359115,0.022099447513812154,0.07734806629834254,0.6068497053704698,0.03543794492768425,0.0386758997076806,0.260293039863233,0.1951529740565714,RTAB RGB+NoisyGNSS,rtab_rgb_ngps,exp1,11,0.0
exp1_rtab_rgb_ngps_seed_22,/home/pulver/projects/vineyard_pf/Outdoor_SLPF_iros_revision_plan/results/iros_revision/rtab_ngps_main_table/exp1/rtab_rgb/seed_22/trajectory_0.5.tum,/home/pulver/projects/vineyard_pf/Outdoor_SLPF_iros_revision_plan/results/iros_revision/rtab_ngps_main_table/exp1/rtab_rgb/seed_22/trajectory_0.5.tum,/home/pulver/projects/vineyard_pf/Outdoor_SLPF_iros_revision_plan/results/iros_revision/rtab_ngps_main_table/exp1/rtab_rgb/seed_22/gps_pose.tum,0,37.87531257807298,6.279521943762659,1.1974959838130492,2.301377211900487,4.681323037284775,5.350251447002597,5.038659535432472,18.04390027491477,0.376657824933687,17.0,259.529723405838,159.1833125763538,74.87306785583496,46.16021252744548,9.363724269197283,0.623342175066313,0.015915119363395226,0.03183023872679045,0.08222811671087533,5.299133183738146,4.582230455686293,18.04390027491477,0.37244897959183676,10.0,137.57824611663818,83.91450481016065,37.48664879798889,23.571031455878256,8.391450481016065,0.6275510204081632,0.015306122448979591,0.04081632653061224,0.08673469387755102,5.405606030427085,5.911342655386684,14.841557889073918,0.3812154696132597,11.0,121.95147728919983,75.26880776619318,46.12046432495117,28.286050474445307,6.8426188878357435,0.6187845303867403,0.016574585635359115,0.022099447513812154,0.07734806629834254,0.6068243784965821,0.03542793400049213,0.038665243468960574,0.2602677296203107,0.19513413077600256,RTAB RGB+NoisyGNSS,rtab_rgb_ngps,exp1,22,0.0
exp1_rtab_rgb_ngps_seed_33,/home/pulver/projects/vineyard_pf/Outdoor_SLPF_iros_revision_plan/results/iros_revision/rtab_ngps_main_table/exp1/rtab_rgb/seed_33/trajectory_0.5.tum,/home/pulver/projects/vineyard_pf/Outdoor_SLPF_iros_revision_plan/results/iros_revision/rtab_ngps_main_table/exp1/rtab_rgb/seed_33/trajectory_0.5.tum,/home/pulver/projects/vineyard_pf/Outdoor_SLPF_iros_revision_plan/results/iros_revision/rtab_ngps_main_table/exp1/rtab_rgb/seed_33/gps_pose.tum,0,37.69918988146126,6.279257896818487,1.1974962577588792,2.301377209736782,4.681323037256217,5.350197323772409,5.038726526331878,18.043849638493175,0.376657824933687,17.0,259.529723405838,159.1833125763538,74.87306785583496,46.16021252744548,9.363724269197283,0.623342175066313,0.015915119363395226,0.03183023872679045,0.08222811671087533,5.299026800748365,4.582285761435028,18.043849638493175,0.37244897959183676,10.0,137.57824611663818,83.91450481016065,37.48664879798889,23.571031455878256,8.391450481016065,0.6275510204081632,0.015306122448979591,0.04081632653061224,0.08673469387755102,5.405608497875794,5.9112795486333765,14.841502532961359,0.3812154696132597,11.0,121.95147728919983,75.26880776619318,46.12046432495117,28.286050474445307,6.8426188878357435,0.6187845303867403,0.016574585635359115,0.022099447513812154,0.07734806629834254,0.6068261861489962,0.03542964148174501,0.03866801622908282,0.26031062275644906,0.1951674546654505,RTAB RGB+NoisyGNSS,rtab_rgb_ngps,exp1,33,0.0
exp1_rtab_rgbd_ngps_seed_11,/home/pulver/projects/vineyard_pf/Outdoor_SLPF_iros_revision_plan/results/iros_revision/rtab_ngps_main_table/exp1/rtab_rgbd/seed_11/trajectory_0.5.tum,/home/pulver/projects/vineyard_pf/Outdoor_SLPF_iros_revision_plan/results/iros_revision/rtab_ngps_main_table/exp1/rtab_rgbd/seed_11/trajectory_0.5.tum,/home/pulver/projects/vineyard_pf/Outdoor_SLPF_iros_revision_plan/results/iros_revision/rtab_ngps_main_table/exp1/rtab_rgbd/seed_11/gps_pose.tum,0,39.184980742878345,6.316366890349516,1.2261051017409252,2.635389159295014,4.53742147463591,5.3742572878481845,5.028306067037274,17.985694237862155,0.3763157894736842,17.0,259.9646246433258,159.8590467386738,73.8408043384552,45.60561332443004,9.403473337569048,0.6236842105263158,0.010526315789473684,0.034210526315789476,0.07894736842105263,5.383611643602053,4.713026820200026,17.985694237862155,0.3880597014925373,10.0,135.8415424823761,82.76201454464652,36.45438528060913,23.01643225286282,8.276201454464651,0.6119402985074627,0.009950248756218905,0.04477611940298507,0.08955223880597014,5.363753234739091,5.702533233364369,14.799594615382002,0.36312849162011174,11.0,124.1230821609497,77.09703219402728,46.12046432495117,28.276532029589738,7.008821108547934,0.6368715083798883,0.0111731843575419,0.0223463687150838,0.0670391061452514,0.6049536849612546,0.036100043941092674,0.03969044073430892,0.2616936967998844,0.1955347522911156,RTAB RGBD+NoisyGNSS,rtab_rgbd_ngps,exp1,11,0.0
exp1_rtab_rgbd_ngps_seed_22,/home/pulver/projects/vineyard_pf/Outdoor_SLPF_iros_revision_plan/results/iros_revision/rtab_ngps_main_table/exp1/rtab_rgbd/seed_22/trajectory_0.5.tum,/home/pulver/projects/vineyard_pf/Outdoor_SLPF_iros_revision_plan/results/iros_revision/rtab_ngps_main_table/exp1/rtab_rgbd/seed_22/trajectory_0.5.tum,/home/pulver/projects/vineyard_pf/Outdoor_SLPF_iros_revision_plan/results/iros_revision/rtab_ngps_main_table/exp1/rtab_rgbd/seed_22/gps_pose.tum,0,39.30273180419628,6.316528599360153,1.2261050870977623,2.6353891567398957,4.5374214746359485,5.374285870186304,5.028278163338305,17.985726396589488,0.3763157894736842,17.0,259.9646246433258,159.8590467386738,73.8408043384552,45.60561332443004,9.403473337569048,0.6236842105263158,0.010526315789473684,0.034210526315789476,0.07894736842105263,5.383667720139876,4.713032262808256,17.985726396589488,0.3880597014925373,10.0,135.8415424823761,82.76201454464652,36.45438528060913,23.01643225286282,8.276201454464651,0.6119402985074627,0.009950248756218905,0.04477611940298507,0.08955223880597014,5.363750943702125,5.702498319209432,14.799635190653007,0.36312849162011174,11.0,124.1230821609497,77.09703219402728,46.12046432495117,28.276532029589738,7.008821108547934,0.6368715083798883,0.0111731843575419,0.0223463687150838,0.0670391061452514,0.6049260157407782,0.036053942985386285,0.03964266462702872,0.2616657972835236,0.1955192967180498,RTAB RGBD+NoisyGNSS,rtab_rgbd_ngps,exp1,22,0.0
exp1_rtab_rgbd_ngps_seed_33,/home/pulver/projects/vineyard_pf/Outdoor_SLPF_iros_revision_plan/results/iros_revision/rtab_ngps_main_table/exp1/rtab_rgbd/seed_33/trajectory_0.5.tum,/home/pulver/projects/vineyard_pf/Outdoor_SLPF_iros_revision_plan/results/iros_revision/rtab_ngps_main_table/exp1/rtab_rgbd/seed_33/trajectory_0.5.tum,/home/pulver/projects/vineyard_pf/Outdoor_SLPF_iros_revision_plan/results/iros_revision/rtab_ngps_main_table/exp1/rtab_rgbd/seed_33/gps_pose.tum,0,39.12637647965208,6.316241372760473,1.2261051278965123,2.635389161377771,4.537421474635898,5.374233591014207,5.028295177599867,17.985677374722076,0.3763157894736842,17.0,259.9646246433258,159.8590467386738,73.8408043384552,45.60561332443004,9.403473337569048,0.6236842105263158,0.010526315789473684,0.034210526315789476,0.07894736842105263,5.383566309970622,4.712999222714963,17.985677374722076,0.3880597014925373,10.0,135.8415424823761,82.76201454464652,36.45438528060913,23.01643225286282,8.276201454464651,0.6119402985074627,0.009950248756218905,0.04477611940298507,0.08955223880597014,5.363753833973763,5.702548744379566,14.799580572397755,0.36312849162011174,11.0,124.1230821609497,77.09703219402728,46.12046432495117,28.276532029589738,7.008821108547934,0.6368715083798883,0.0111731843575419,0.0223463687150838,0.0670391061452514,0.6049327570059738,0.036067463194906176,0.03965890613078963,0.26171535357393444,0.19554826095594197,RTAB RGBD+NoisyGNSS,rtab_rgbd_ngps,exp1,33,0.0
exp2_rtab_rgb_ngps_seed_11,/home/pulver/projects/vineyard_pf/Outdoor_SLPF_iros_revision_plan/results/iros_revision/rtab_ngps_main_table/exp2/rtab_rgb/seed_11/trajectory_0.5.tum,/home/pulver/projects/vineyard_pf/Outdoor_SLPF_iros_revision_plan/results/iros_revision/rtab_ngps_main_table/exp2/rtab_rgb/seed_11/trajectory_0.5.tum,/home/pulver/projects/vineyard_pf/Outdoor_SLPF_iros_revision_plan/results/iros_revision/rtab_ngps_main_table/exp2/rtab_rgb/seed_11/gps_pose.tum,0,41.142337813923056,8.060124363493149,1.7641222434693016,2.429741121822966,5.800109245161597,6.0127451030615475,5.6018305948967875,19.226656155540642,0.3875968992248062,19.0,264.5992639064789,160.35131369865536,67.65926122665405,39.98342792029208,8.439542826245019,0.6124031007751938,0.025839793281653745,0.056847545219638244,0.10077519379844961,6.647991300866597,6.178961916182553,19.226656155540642,0.3712871287128713,12.0,142.0438573360443,84.97669284158965,39.507094860076904,22.2191136371526,7.081391070132471,0.6287128712871287,0.024752475247524754,0.0594059405940594,0.09900990099009901,5.319124930323061,4.695027480655721,15.738366866886542,0.40540540540540543,10.0,122.55540657043457,75.37462085706571,46.76022386550903,28.570014275302743,7.53746208570657,0.5945945945945946,0.02702702702702703,0.05405405405405406,0.10270270270270271,0.6146891172165588,0.05821469463422756,0.08598990934167658,0.30064502015046324,0.2961338272367468,RTAB RGB+NoisyGNSS,rtab_rgb_ngps,exp2,11,0.0
exp2_rtab_rgb_ngps_seed_22,/home/pulver/projects/vineyard_pf/Outdoor_SLPF_iros_revision_plan/results/iros_revision/rtab_ngps_main_table/exp2/rtab_rgb/seed_22/trajectory_0.5.tum,/home/pulver/projects/vineyard_pf/Outdoor_SLPF_iros_revision_plan/results/iros_revision/rtab_ngps_main_table/exp2/rtab_rgb/seed_22/trajectory_0.5.tum,/home/pulver/projects/vineyard_pf/Outdoor_SLPF_iros_revision_plan/results/iros_revision/rtab_ngps_main_table/exp2/rtab_rgb/seed_22/gps_pose.tum,0,41.25448679484262,8.075512784575007,1.724616982007517,2.7086810665689005,5.7986308314477455,5.902469504077704,5.600455488815983,19.32905506880546,0.37662337662337664,19.0,267.71257758140564,162.34052177851584,67.65926122665405,39.98342792029208,8.544237988342939,0.6233766233766234,0.025974025974025976,0.05714285714285714,0.1012987012987013,6.433267266330476,5.9855694969218005,19.32905506880546,0.35,12.0,145.28690600395203,87.0387103374813,39.507094860076904,22.2191136371526,7.253225861456776,0.65,0.035,0.065,0.1,5.328634085426057,4.80015187991142,15.823081087949094,0.40540540540540543,10.0,122.42567157745361,75.30181144103454,47.66700577735901,29.113370596251574,7.530181144103454,0.5945945945945946,0.016216216216216217,0.04864864864864865,0.10270270270270271,0.6183224946559508,0.059888248280064116,0.09185547727568891,0.24005240098421593,0.16708474491195174,RTAB RGB+NoisyGNSS,rtab_rgb_ngps,exp2,22,0.0
exp2_rtab_rgb_ngps_seed_33,/home/pulver/projects/vineyard_pf/Outdoor_SLPF_iros_revision_plan/results/iros_revision/rtab_ngps_main_table/exp2/rtab_rgb/seed_33/trajectory_0.5.tum,/home/pulver/projects/vineyard_pf/Outdoor_SLPF_iros_revision_plan/results/iros_revision/rtab_ngps_main_table/exp2/rtab_rgb/seed_33/trajectory_0.5.tum,/home/pulver/projects/vineyard_pf/Outdoor_SLPF_iros_revision_plan/results/iros_revision/rtab_ngps_main_table/exp2/rtab_rgb/seed_33/gps_pose.tum,0,43.49245666103698,8.86657908647563,1.5953687805616983,2.447734194789418,5.791108308480915,6.561276255016611,6.03663453013025,18.800304883611705,0.4154228855721393,18.0,262.91259384155273,159.87423156816402,68.86098217964172,40.64854152922595,8.88190175378689,0.5845771144278606,0.02736318407960199,0.05472636815920398,0.09203980099502487,7.5964787416375765,6.549479328276555,18.800304883611705,0.423963133640553,12.0,139.96086621284485,83.85521087299288,39.507094860076904,23.313258238561907,6.987934239416074,0.576036866359447,0.018433179723502304,0.04608294930875576,0.08755760368663594,5.347011716655803,4.811799991106136,15.355070816435855,0.40540540540540543,7.0,122.95172762870789,76.01902069517112,41.4412727355957,25.381864915361,10.85986009931016,0.5945945945945946,0.03783783783783784,0.06486486486486487,0.0972972972972973,0.5940255226915768,0.054150403888024605,0.08032373215332492,0.47352339230267493,0.5445242606634928,RTAB RGB+NoisyGNSS,rtab_rgb_ngps,exp2,33,0.0
exp2_rtab_rgbd_ngps_seed_11,/home/pulver/projects/vineyard_pf/Outdoor_SLPF_iros_revision_plan/results/iros_revision/rtab_ngps_main_table/exp2/rtab_rgbd/seed_11/trajectory_0.5.tum,/home/pulver/projects/vineyard_pf/Outdoor_SLPF_iros_revision_plan/results/iros_revision/rtab_ngps_main_table/exp2/rtab_rgbd/seed_11/trajectory_0.5.tum,/home/pulver/projects/vineyard_pf/Outdoor_SLPF_iros_revision_plan/results/iros_revision/rtab_ngps_main_table/exp2/rtab_rgbd/seed_11/gps_pose.tum,0,43.60546266832559,8.28705513076133,2.1722298294566658,3.384841000942592,6.240951211049151,6.509998119016065,6.006713704362197,18.919390082027537,0.4103194103194103,18.0,263.47410678863525,160.35805851077455,68.86098217964172,40.64200846117265,8.908781028376364,0.5896805896805897,0.02457002457002457,0.05405405405405406,0.10073710073710074,7.552250666128645,6.5811217156310695,18.919390082027537,0.4200913242009132,11.0,140.54062676429749,84.48203316076592,39.01215648651123,24.12094755173454,7.680184832796902,0.5799086757990868,0.0182648401826484,0.0502283105022831,0.091324200913242,5.295884779560454,4.6610481622131275,15.486129418684325,0.39893617021276595,8.0,122.93348002433777,75.87602535000862,34.361783266067505,20.935187759945098,9.484503168751077,0.601063829787234,0.031914893617021274,0.05851063829787234,0.11170212765957446,0.6048491336789947,0.15935836990205632,0.16418426589943586,0.4617023791276636,0.5357437086693868,RTAB RGBD+NoisyGNSS,rtab_rgbd_ngps,exp2,11,0.0
